12
1	 13	 363	 373	 25	 41
2	 14	 239	 249	 21	 79
3	 37	 277	 341	 64	 74
4	 77	 122	 124	 67	 77
5	 46	 211	 217	 5	 33
6	 81	 259	 285	 10	 20
7	 41	 199	 237	 8	 48
8	 12	 222	 264	 21	 78
9	 9	 300	 304	 25	 48
10	 1	 112	 152	 1	 53
11	 60	 157	 171	 25	 95
12	 2	 112	 150	 34	 71
0	16	10	9	44	2	2	12	20	38	48	25
16	0	1	47	17	34	27	48	19	14	21	14
10	1	0	43	19	32	33	21	0	18	10	27
9	47	43	0	30	29	3	12	8	27	27	30
44	17	19	30	0	35	36	40	4	49	21	22
2	34	32	29	35	0	6	13	48	25	14	32
2	27	33	3	36	6	0	20	16	45	27	9
12	48	21	12	40	13	20	0	22	41	32	33
20	19	0	8	4	48	16	22	0	30	23	3
38	14	18	27	49	25	45	41	30	0	15	44
48	21	10	27	21	14	27	32	23	15	0	4
25	14	27	30	22	32	9	33	3	44	4	0
