15
1	 98	 367	 465	 8	 33
2	 17	 668	 710	 1	 30
3	 53	 495	 537	 70	 80
4	 53	 694	 708	 1	 21
5	 58	 239	 293	 74	 83
6	 79	 341	 387	 5	 28
7	 17	 730	 740	 5	 41
8	 22	 169	 255	 66	 87
9	 61	 559	 639	 24	 53
10	 4	 472	 528	 23	 33
11	 65	 452	 460	 22	 49
12	 79	 403	 499	 6	 38
13	 96	 150	 182	 3	 32
14	 3	 489	 517	 8	 87
15	 38	 574	 586	 11	 25
0	17	47	35	6	32	10	32	16	48	3	20	43	24	16
17	0	21	39	36	24	30	30	2	33	26	17	42	10	8
47	21	0	46	16	24	45	23	30	41	49	43	42	43	25
35	39	46	0	39	3	34	14	12	20	27	2	4	8	49
6	36	16	39	0	41	46	19	41	6	28	31	42	39	7
32	24	24	3	41	0	1	24	8	0	45	13	27	32	3
10	30	45	34	46	1	0	8	22	4	28	12	29	17	0
32	30	23	14	19	24	8	0	25	40	39	20	1	16	42
16	2	30	12	41	8	22	25	0	31	26	17	20	14	35
48	33	41	20	6	0	4	40	31	0	49	34	38	2	25
3	26	49	27	28	45	28	39	26	49	0	23	12	33	39
20	17	43	2	31	13	12	20	17	34	23	0	41	0	24
43	42	42	4	42	27	29	1	20	38	12	41	0	43	0
24	10	43	8	39	32	17	16	14	2	33	0	43	0	36
16	8	25	49	7	3	0	42	35	25	39	24	0	36	0
