11
1	 96	 111	 169	 10	 50
2	 51	 490	 538	 4	 30
3	 21	 256	 290	 45	 73
4	 8	 491	 533	 58	 73
5	 80	 374	 390	 36	 38
6	 11	 506	 522	 5	 94
7	 48	 422	 506	 20	 41
8	 46	 155	 215	 2	 88
9	 29	 196	 254	 30	 37
10	 76	 251	 261	 33	 56
11	 92	 352	 418	 74	 96
0	43	16	30	8	6	28	44	45	42	12
43	0	12	13	22	40	34	28	43	3	32
16	12	0	9	6	27	48	36	31	39	0
30	13	9	0	40	5	12	36	36	0	12
8	22	6	40	0	49	24	14	49	31	31
6	40	27	5	49	0	19	31	2	4	37
28	34	48	12	24	19	0	15	12	26	40
44	28	36	36	14	31	15	0	9	46	6
45	43	31	36	49	2	12	9	0	35	7
42	3	39	0	31	4	26	46	35	0	24
12	32	0	12	31	37	40	6	7	24	0
