15
1	 98	 647	 669	 12	 22
2	 55	 0	 65	 50	 96
3	 9	 0	 40	 0	 31
4	 24	 170	 262	 6	 44
5	 36	 278	 296	 14	 52
6	 36	 153	 179	 50	 67
7	 85	 209	 269	 13	 93
8	 62	 895	 909	 23	 37
9	 55	 842	 884	 17	 76
10	 58	 868	 964	 39	 43
11	 87	 573	 655	 11	 24
12	 42	 374	 440	 33	 44
13	 89	 439	 543	 50	 64
14	 18	 102	 198	 18	 23
15	 89	 961	 1045	 37	 39
0	32	25	23	29	9	2	22	19	13	46	2	23	28	17
32	0	14	3	2	38	41	4	46	48	7	30	14	43	13
25	14	0	28	12	42	32	13	45	39	26	47	25	36	42
23	3	28	0	4	46	37	13	21	39	11	21	38	30	49
29	2	12	4	0	39	29	42	48	6	4	8	6	11	0
9	38	42	46	39	0	7	30	48	9	35	18	8	31	7
2	41	32	37	29	7	0	12	48	31	18	42	2	30	19
22	4	13	13	42	30	12	0	0	38	26	0	45	38	22
19	46	45	21	48	48	48	0	0	10	2	12	13	36	20
13	48	39	39	6	9	31	38	10	0	21	16	1	18	0
46	7	26	11	4	35	18	26	2	21	0	45	5	20	5
2	30	47	21	8	18	42	0	12	16	45	0	1	3	25
23	14	25	38	6	8	2	45	13	1	5	1	0	21	34
28	43	36	30	11	31	30	38	36	18	20	3	21	0	6
17	13	42	49	0	7	19	22	20	0	5	25	34	6	0
