11
1	 96	 351	 367	 10	 35
2	 25	 461	 523	 23	 50
3	 36	 100	 168	 19	 41
4	 14	 656	 678	 31	 46
5	 98	 310	 366	 60	 75
6	 82	 206	 242	 19	 64
7	 35	 202	 222	 6	 98
8	 87	 128	 200	 32	 39
9	 42	 152	 240	 0	 48
10	 57	 292	 352	 20	 79
11	 94	 69	 89	 22	 62
0	49	2	15	1	2	27	33	49	11	25
49	0	45	29	2	32	25	47	14	18	34
2	45	0	12	24	4	42	44	31	36	39
15	29	12	0	3	25	49	7	16	2	15
1	2	24	3	0	29	7	3	41	31	26
2	32	4	25	29	0	12	15	25	15	47
27	25	42	49	7	12	0	36	22	28	37
33	47	44	7	3	15	36	0	12	45	36
49	14	31	16	41	25	22	12	0	39	38
11	18	36	2	31	15	28	45	39	0	27
25	34	39	15	26	47	37	36	38	27	0
