11
1	 94	 159	 187	 35	 46
2	 44	 381	 431	 70	 88
3	 25	 330	 340	 7	 39
4	 11	 508	 550	 9	 59
5	 2	 437	 463	 47	 87
6	 27	 147	 191	 36	 100
7	 18	 311	 313	 46	 99
8	 18	 340	 400	 55	 57
9	 18	 104	 130	 60	 69
10	 15	 279	 283	 28	 79
11	 82	 477	 493	 33	 85
0	17	0	1	26	33	10	29	31	6	41
17	0	22	4	30	38	6	42	48	13	38
0	22	0	21	16	24	20	25	18	16	1
1	4	21	0	27	43	7	17	4	48	49
26	30	16	27	0	39	8	39	35	34	27
33	38	24	43	39	0	31	23	44	39	19
10	6	20	7	8	31	0	44	0	4	2
29	42	25	17	39	23	44	0	44	42	13
31	48	18	4	35	44	0	44	0	45	8
6	13	16	48	34	39	4	42	45	0	16
41	38	1	49	27	19	2	13	8	16	0
