50
1	 19	 2185	 2203	 15	 99
2	 10	 805	 839	 19	 34
3	 21	 371	 397	 39	 51
4	 28	 1258	 1322	 34	 61
5	 89	 274	 292	 20	 74
6	 68	 2387	 2397	 72	 87
7	 7	 946	 998	 25	 38
8	 12	 1761	 1765	 64	 87
9	 86	 1929	 1965	 37	 55
10	 61	 791	 847	 10	 21
11	 21	 1890	 1900	 16	 57
12	 52	 608	 696	 16	 54
13	 36	 1966	 2008	 33	 79
14	 80	 940	 1010	 3	 36
15	 95	 2215	 2297	 42	 58
16	 14	 1848	 1854	 15	 62
17	 82	 1872	 1874	 68	 75
18	 55	 1307	 1365	 55	 97
19	 84	 626	 662	 1	 88
20	 9	 222	 234	 1	 31
21	 65	 398	 452	 14	 73
22	 78	 1909	 1995	 25	 85
23	 22	 411	 463	 3	 29
24	 69	 1043	 1061	 6	 21
25	 35	 1253	 1281	 2	 29
26	 51	 1799	 1819	 12	 38
27	 5	 1482	 1524	 33	 52
28	 40	 504	 516	 0	 30
29	 16	 582	 646	 52	 65
30	 25	 614	 696	 26	 38
31	 35	 564	 638	 48	 66
32	 70	 365	 401	 51	 78
33	 5	 2298	 2314	 26	 30
34	 22	 2036	 2116	 26	 61
35	 55	 1605	 1675	 22	 24
36	 3	 1592	 1650	 16	 49
37	 97	 1313	 1315	 8	 29
38	 12	 1437	 1451	 43	 78
39	 51	 1165	 1249	 28	 100
40	 74	 862	 938	 30	 38
41	 53	 1365	 1383	 3	 99
42	 49	 426	 438	 23	 25
43	 82	 1036	 1044	 46	 64
44	 39	 460	 548	 42	 55
45	 74	 1418	 1458	 8	 61
46	 26	 2279	 2309	 8	 35
47	 15	 478	 534	 47	 76
48	 71	 342	 396	 51	 53
49	 11	 1160	 1234	 64	 95
50	 65	 1272	 1288	 18	 78
0	13	40	11	24	4	29	44	8	16	38	11	21	29	26	41	26	11	1	8	6	0	38	30	49	39	4	19	15	9	45	9	45	30	20	4	17	0	0	44	46	24	19	38	21	16	47	30	8	15
13	0	5	13	31	7	40	1	43	29	26	47	34	36	25	37	6	21	0	33	26	1	39	48	28	0	3	49	39	28	34	33	40	46	42	30	40	21	13	10	29	46	20	10	17	22	18	6	32	16
40	5	0	28	25	23	9	12	21	30	40	16	37	39	46	36	3	10	41	20	27	30	2	46	8	49	11	40	6	17	6	4	42	23	44	35	36	37	15	28	8	35	12	24	11	39	48	24	17	33
11	13	28	0	1	47	42	42	9	42	42	19	44	41	27	31	8	18	12	0	41	7	31	6	38	11	34	41	16	15	4	49	2	5	4	32	30	42	16	22	30	45	19	43	31	13	26	25	8	3
24	31	25	1	0	12	32	37	11	28	28	22	45	9	16	18	32	4	18	34	0	41	6	22	49	25	4	49	36	14	9	8	20	23	0	5	25	33	10	3	41	20	35	35	13	10	25	19	12	4
4	7	23	47	12	0	15	27	36	18	41	24	3	14	14	41	48	37	5	13	27	10	21	32	38	33	16	42	34	14	2	21	42	12	7	48	11	4	24	37	8	30	0	33	10	10	29	35	32	16
29	40	9	42	32	15	0	47	39	6	26	36	41	43	21	43	32	15	27	17	24	4	2	37	8	25	3	40	45	24	12	17	26	23	29	10	38	29	22	1	35	45	33	6	12	28	22	43	24	20
44	1	12	42	37	27	47	0	45	33	37	25	45	13	12	27	3	23	24	19	29	35	23	47	22	41	13	49	37	11	43	42	5	30	21	9	33	48	6	7	46	49	8	43	18	32	34	2	37	30
8	43	21	9	11	36	39	45	0	21	9	18	7	39	41	18	7	6	8	19	34	0	23	12	34	40	47	4	48	47	33	42	10	40	32	21	1	32	29	5	11	17	35	35	12	22	30	20	35	5
16	29	30	42	28	18	6	33	21	0	31	48	30	3	34	36	23	31	15	12	32	36	37	7	15	22	31	35	10	15	12	21	13	20	2	33	22	40	47	45	30	28	44	44	23	31	28	24	5	0
38	26	40	42	28	41	26	37	9	31	0	25	11	7	4	28	33	45	7	25	35	45	18	41	10	27	7	36	12	36	12	34	32	28	15	39	30	7	0	25	43	9	44	7	24	33	15	23	0	2
11	47	16	19	22	24	36	25	18	48	25	0	19	36	3	10	13	39	22	26	15	14	31	0	35	27	24	8	23	3	11	6	40	14	44	36	24	41	19	14	40	36	27	20	35	19	25	36	17	31
21	34	37	44	45	3	41	45	7	30	11	19	0	33	9	23	5	49	23	6	45	46	2	16	45	8	45	32	23	39	24	3	31	42	26	11	32	36	47	4	7	27	3	43	37	12	45	10	21	2
29	36	39	41	9	14	43	13	39	3	7	36	33	0	6	30	48	2	7	1	7	2	32	21	45	16	24	38	44	12	42	40	30	32	19	45	41	26	11	12	23	36	20	47	45	13	44	44	8	24
26	25	46	27	16	14	21	12	41	34	4	3	9	6	0	1	3	12	15	43	3	35	9	19	24	30	9	17	18	46	23	29	10	39	42	32	47	9	47	34	7	9	6	19	4	1	11	27	48	8
41	37	36	31	18	41	43	27	18	36	28	10	23	30	1	0	25	45	15	38	21	22	33	13	37	43	49	41	36	18	28	49	47	36	23	2	41	16	36	17	7	17	14	10	29	19	42	34	28	2
26	6	3	8	32	48	32	3	7	23	33	13	5	48	3	25	0	22	32	33	46	29	43	45	42	7	34	19	46	6	23	38	13	29	24	13	49	34	2	32	48	6	45	13	40	0	35	28	40	6
11	21	10	18	4	37	15	23	6	31	45	39	49	2	12	45	22	0	48	17	44	8	40	39	35	30	47	13	34	19	6	0	11	33	29	30	18	11	2	21	31	14	10	7	5	10	3	28	1	22
1	0	41	12	18	5	27	24	8	15	7	22	23	7	15	15	32	48	0	39	21	3	37	9	6	24	46	4	0	40	6	25	32	48	20	1	43	11	47	5	2	46	26	45	35	48	0	14	40	13
8	33	20	0	34	13	17	19	19	12	25	26	6	1	43	38	33	17	39	0	2	0	7	28	21	8	16	5	33	43	12	0	45	37	31	20	10	48	34	29	15	23	26	27	31	18	34	7	3	1
6	26	27	41	0	27	24	29	34	32	35	15	45	7	3	21	46	44	21	2	0	32	22	13	26	33	48	26	12	27	48	5	22	0	40	12	21	11	48	24	23	8	4	17	7	32	45	3	3	17
0	1	30	7	41	10	4	35	0	36	45	14	46	2	35	22	29	8	3	0	32	0	7	4	15	0	23	21	8	24	1	27	24	48	18	6	11	14	15	7	1	14	42	49	44	3	35	47	5	33
38	39	2	31	6	21	2	23	23	37	18	31	2	32	9	33	43	40	37	7	22	7	0	28	14	18	47	4	20	46	34	4	9	7	1	26	49	9	32	33	39	10	45	27	6	34	29	4	44	3
30	48	46	6	22	32	37	47	12	7	41	0	16	21	19	13	45	39	9	28	13	4	28	0	32	20	2	30	48	0	11	18	24	33	5	41	16	37	38	25	21	17	3	29	45	6	45	18	13	49
49	28	8	38	49	38	8	22	34	15	10	35	45	45	24	37	42	35	6	21	26	15	14	32	0	25	24	34	47	44	31	16	19	2	5	47	3	19	38	44	15	1	29	45	31	1	11	40	18	38
39	0	49	11	25	33	25	41	40	22	27	27	8	16	30	43	7	30	24	8	33	0	18	20	25	0	4	8	38	20	30	33	26	29	45	49	39	23	8	8	10	34	43	25	0	47	32	6	46	9
4	3	11	34	4	16	3	13	47	31	7	24	45	24	9	49	34	47	46	16	48	23	47	2	24	4	0	47	47	2	39	22	40	13	49	2	12	28	9	40	34	37	33	8	45	1	33	35	20	4
19	49	40	41	49	42	40	49	4	35	36	8	32	38	17	41	19	13	4	5	26	21	4	30	34	8	47	0	22	40	7	32	8	37	49	5	19	30	13	13	14	7	14	39	31	14	14	46	31	22
15	39	6	16	36	34	45	37	48	10	12	23	23	44	18	36	46	34	0	33	12	8	20	48	47	38	47	22	0	6	9	34	21	32	2	7	46	29	7	12	16	28	28	46	11	7	41	2	45	5
9	28	17	15	14	14	24	11	47	15	36	3	39	12	46	18	6	19	40	43	27	24	46	0	44	20	2	40	6	0	41	6	5	21	21	16	30	4	11	26	0	43	37	24	38	18	47	2	37	35
45	34	6	4	9	2	12	43	33	12	12	11	24	42	23	28	23	6	6	12	48	1	34	11	31	30	39	7	9	41	0	6	9	35	26	17	9	28	9	25	5	2	48	1	15	45	11	25	25	6
9	33	4	49	8	21	17	42	42	21	34	6	3	40	29	49	38	0	25	0	5	27	4	18	16	33	22	32	34	6	6	0	36	8	45	46	15	44	0	4	1	45	2	5	43	49	12	38	0	12
45	40	42	2	20	42	26	5	10	13	32	40	31	30	10	47	13	11	32	45	22	24	9	24	19	26	40	8	21	5	9	36	0	3	7	36	0	45	36	22	26	5	5	24	17	14	47	43	10	47
30	46	23	5	23	12	23	30	40	20	28	14	42	32	39	36	29	33	48	37	0	48	7	33	2	29	13	37	32	21	35	8	3	0	49	17	11	9	41	46	31	9	49	45	12	34	42	35	35	23
20	42	44	4	0	7	29	21	32	2	15	44	26	19	42	23	24	29	20	31	40	18	1	5	5	45	49	49	2	21	26	45	7	49	0	7	32	46	39	21	9	35	46	17	14	4	26	47	23	43
4	30	35	32	5	48	10	9	21	33	39	36	11	45	32	2	13	30	1	20	12	6	26	41	47	49	2	5	7	16	17	46	36	17	7	0	0	12	32	17	31	12	14	1	12	39	18	42	23	8
17	40	36	30	25	11	38	33	1	22	30	24	32	41	47	41	49	18	43	10	21	11	49	16	3	39	12	19	46	30	9	15	0	11	32	0	0	49	11	11	35	11	40	17	5	10	28	46	46	13
0	21	37	42	33	4	29	48	32	40	7	41	36	26	9	16	34	11	11	48	11	14	9	37	19	23	28	30	29	4	28	44	45	9	46	12	49	0	4	3	44	5	14	1	11	9	18	0	45	16
0	13	15	16	10	24	22	6	29	47	0	19	47	11	47	36	2	2	47	34	48	15	32	38	38	8	9	13	7	11	9	0	36	41	39	32	11	4	0	4	48	38	29	28	15	28	0	3	46	21
44	10	28	22	3	37	1	7	5	45	25	14	4	12	34	17	32	21	5	29	24	7	33	25	44	8	40	13	12	26	25	4	22	46	21	17	11	3	4	0	40	49	11	15	7	13	37	5	44	21
46	29	8	30	41	8	35	46	11	30	43	40	7	23	7	7	48	31	2	15	23	1	39	21	15	10	34	14	16	0	5	1	26	31	9	31	35	44	48	40	0	0	8	28	27	12	21	42	38	3
24	46	35	45	20	30	45	49	17	28	9	36	27	36	9	17	6	14	46	23	8	14	10	17	1	34	37	7	28	43	2	45	5	9	35	12	11	5	38	49	0	0	46	21	45	36	38	30	45	34
19	20	12	19	35	0	33	8	35	44	44	27	3	20	6	14	45	10	26	26	4	42	45	3	29	43	33	14	28	37	48	2	5	49	46	14	40	14	29	11	8	46	0	47	9	46	8	29	8	40
38	10	24	43	35	33	6	43	35	44	7	20	43	47	19	10	13	7	45	27	17	49	27	29	45	25	8	39	46	24	1	5	24	45	17	1	17	1	28	15	28	21	47	0	0	3	10	9	33	48
21	17	11	31	13	10	12	18	12	23	24	35	37	45	4	29	40	5	35	31	7	44	6	45	31	0	45	31	11	38	15	43	17	12	14	12	5	11	15	7	27	45	9	0	0	6	17	20	22	24
16	22	39	13	10	10	28	32	22	31	33	19	12	13	1	19	0	10	48	18	32	3	34	6	1	47	1	14	7	18	45	49	14	34	4	39	10	9	28	13	12	36	46	3	6	0	4	6	37	31
47	18	48	26	25	29	22	34	30	28	15	25	45	44	11	42	35	3	0	34	45	35	29	45	11	32	33	14	41	47	11	12	47	42	26	18	28	18	0	37	21	38	8	10	17	4	0	47	4	12
30	6	24	25	19	35	43	2	20	24	23	36	10	44	27	34	28	28	14	7	3	47	4	18	40	6	35	46	2	2	25	38	43	35	47	42	46	0	3	5	42	30	29	9	20	6	47	0	46	47
8	32	17	8	12	32	24	37	35	5	0	17	21	8	48	28	40	1	40	3	3	5	44	13	18	46	20	31	45	37	25	0	10	35	23	23	46	45	46	44	38	45	8	33	22	37	4	46	0	40
15	16	33	3	4	16	20	30	5	0	2	31	2	24	8	2	6	22	13	1	17	33	3	49	38	9	4	22	5	35	6	12	47	23	43	8	13	16	21	21	3	34	40	48	24	31	12	47	40	0
