12
1	 13	 108	 166	 9	 43
2	 11	 665	 729	 14	 70
3	 20	 709	 725	 11	 65
4	 88	 615	 621	 68	 87
5	 23	 192	 224	 19	 46
6	 72	 437	 463	 43	 69
7	 82	 325	 331	 58	 69
8	 26	 582	 590	 3	 94
9	 34	 353	 443	 46	 63
10	 69	 332	 422	 81	 88
11	 82	 652	 736	 13	 23
12	 28	 476	 544	 12	 25
0	47	22	14	33	16	3	3	19	32	24	17
47	0	47	25	30	0	45	28	23	38	0	42
22	47	0	12	3	15	11	33	4	30	39	26
14	25	12	0	42	29	49	41	37	39	19	11
33	30	3	42	0	22	28	5	14	1	45	0
16	0	15	29	22	0	16	37	5	10	35	41
3	45	11	49	28	16	0	35	26	41	25	20
3	28	33	41	5	37	35	0	32	24	44	38
19	23	4	37	14	5	26	32	0	29	33	1
32	38	30	39	1	10	41	24	29	0	18	10
24	0	39	19	45	35	25	44	33	18	0	18
17	42	26	11	0	41	20	38	1	10	18	0
