12
1	 13	 207	 241	 49	 58
2	 59	 492	 548	 9	 45
3	 36	 281	 343	 18	 45
4	 19	 294	 350	 8	 66
5	 63	 498	 548	 46	 73
6	 4	 587	 671	 4	 32
7	 49	 354	 386	 32	 72
8	 13	 428	 442	 70	 83
9	 95	 438	 458	 65	 95
10	 3	 249	 255	 4	 20
11	 88	 507	 561	 31	 42
12	 86	 419	 471	 30	 67
0	41	36	29	3	5	4	15	15	0	11	44
41	0	17	45	38	45	39	7	8	22	42	12
36	17	0	34	10	21	10	36	15	27	41	46
29	45	34	0	21	35	33	38	14	16	26	46
3	38	10	21	0	36	32	20	33	39	36	21
5	45	21	35	36	0	23	2	27	47	14	31
4	39	10	33	32	23	0	44	3	2	27	26
15	7	36	38	20	2	44	0	28	7	4	23
15	8	15	14	33	27	3	28	0	0	4	45
0	22	27	16	39	47	2	7	0	0	28	48
11	42	41	26	36	14	27	4	4	28	0	49
44	12	46	46	21	31	26	23	45	48	49	0
