30
1	 26	 871	 873	 8	 73
2	 88	 1321	 1429	 35	 39
3	 19	 1276	 1360	 8	 34
4	 48	 647	 713	 20	 36
5	 20	 649	 657	 17	 44
6	 41	 373	 417	 38	 40
7	 98	 410	 508	 23	 75
8	 86	 868	 946	 4	 21
9	 99	 1001	 1039	 10	 74
10	 77	 399	 497	 6	 58
11	 53	 840	 924	 68	 97
12	 19	 803	 851	 47	 79
13	 6	 692	 756	 8	 47
14	 91	 1522	 1586	 18	 39
15	 70	 1179	 1251	 44	 83
16	 13	 1220	 1238	 8	 31
17	 67	 1562	 1584	 37	 53
18	 74	 1332	 1424	 15	 92
19	 39	 902	 922	 1	 35
20	 67	 887	 969	 46	 60
21	 43	 449	 497	 3	 22
22	 32	 397	 499	 11	 69
23	 71	 427	 527	 17	 84
24	 58	 1410	 1412	 18	 34
25	 94	 1064	 1170	 36	 93
26	 6	 923	 977	 11	 32
27	 16	 1037	 1057	 4	 74
28	 53	 459	 567	 21	 23
29	 76	 1560	 1646	 71	 75
30	 97	 391	 459	 12	 25
0	24	7	19	16	41	38	5	6	2	20	48	25	10	7	11	3	4	23	39	36	7	47	22	43	2	19	47	0	3
24	0	2	12	10	47	27	35	24	35	34	21	32	27	33	42	1	12	3	33	12	3	11	42	8	12	33	3	19	19
7	2	0	21	19	42	45	9	23	27	19	31	23	3	2	0	10	6	1	4	41	25	49	22	48	3	24	42	25	17
19	12	21	0	46	28	49	34	42	42	48	6	31	25	21	20	49	33	8	34	28	39	3	25	35	9	17	5	17	1
16	10	19	46	0	18	14	26	8	3	42	47	44	31	12	10	34	35	18	10	19	38	39	4	12	2	12	39	47	45
41	47	42	28	18	0	8	27	30	5	48	40	4	44	33	19	15	30	32	35	36	34	15	19	13	8	0	7	29	43
38	27	45	49	14	8	0	21	27	36	24	0	5	4	15	23	41	16	30	37	15	13	3	11	0	5	14	29	15	28
5	35	9	34	26	27	21	0	16	41	28	35	12	38	45	32	34	48	42	23	40	26	18	5	3	6	15	20	45	13
6	24	23	42	8	30	27	16	0	10	13	14	8	15	48	45	15	38	2	48	4	26	48	21	42	31	39	16	11	23
2	35	27	42	3	5	36	41	10	0	35	3	43	29	38	23	10	39	37	1	4	32	22	34	37	6	38	0	45	21
20	34	19	48	42	48	24	28	13	35	0	19	36	27	12	2	41	48	22	17	35	47	38	17	44	8	48	34	11	15
48	21	31	6	47	40	0	35	14	3	19	0	44	43	35	5	39	6	6	1	3	28	2	40	7	21	11	32	23	30
25	32	23	31	44	4	5	12	8	43	36	44	0	4	7	48	30	24	9	9	7	1	13	23	32	36	35	34	37	9
10	27	3	25	31	44	4	38	15	29	27	43	4	0	20	35	12	7	44	16	3	11	8	20	18	15	21	47	16	36
7	33	2	21	12	33	15	45	48	38	12	35	7	20	0	39	1	48	8	37	0	25	38	36	40	29	13	31	35	46
11	42	0	20	10	19	23	32	45	23	2	5	48	35	39	0	2	12	12	39	35	33	41	31	27	18	7	29	14	8
3	1	10	49	34	15	41	34	15	10	41	39	30	12	1	2	0	46	46	5	12	22	30	42	3	3	13	24	39	4
4	12	6	33	35	30	16	48	38	39	48	6	24	7	48	12	46	0	21	24	5	13	44	31	9	39	36	13	32	18
23	3	1	8	18	32	30	42	2	37	22	6	9	44	8	12	46	21	0	47	22	31	21	0	7	46	13	11	26	38
39	33	4	34	10	35	37	23	48	1	17	1	9	16	37	39	5	24	47	0	31	28	44	8	7	38	5	4	35	34
36	12	41	28	19	36	15	40	4	4	35	3	7	3	0	35	12	5	22	31	0	31	47	23	49	10	40	2	45	18
7	3	25	39	38	34	13	26	26	32	47	28	1	11	25	33	22	13	31	28	31	0	47	23	29	6	9	35	7	6
47	11	49	3	39	15	3	18	48	22	38	2	13	8	38	41	30	44	21	44	47	47	0	11	32	48	24	24	22	14
22	42	22	25	4	19	11	5	21	34	17	40	23	20	36	31	42	31	0	8	23	23	11	0	18	43	27	16	24	8
43	8	48	35	12	13	0	3	42	37	44	7	32	18	40	27	3	9	7	7	49	29	32	18	0	11	48	11	0	12
2	12	3	9	2	8	5	6	31	6	8	21	36	15	29	18	3	39	46	38	10	6	48	43	11	0	48	39	17	36
19	33	24	17	12	0	14	15	39	38	48	11	35	21	13	7	13	36	13	5	40	9	24	27	48	48	0	10	3	2
47	3	42	5	39	7	29	20	16	0	34	32	34	47	31	29	24	13	11	4	2	35	24	16	11	39	10	0	17	47
0	19	25	17	47	29	15	45	11	45	11	23	37	16	35	14	39	32	26	35	45	7	22	24	0	17	3	17	0	18
3	19	17	1	45	43	28	13	23	21	15	30	9	36	46	8	4	18	38	34	18	6	14	8	12	36	2	47	18	0
