11
1	 96	 335	 353	 29	 48
2	 94	 43	 109	 17	 32
3	 91	 40	 134	 14	 28
4	 85	 739	 743	 20	 25
5	 24	 431	 529	 34	 41
6	 81	 459	 575	 1	 77
7	 27	 272	 376	 7	 83
8	 79	 340	 420	 74	 100
9	 14	 93	 105	 1	 21
10	 52	 566	 666	 4	 70
11	 67	 325	 441	 54	 97
0	12	3	39	19	29	40	39	47	11	49
12	0	26	17	44	41	5	10	12	12	8
3	26	0	44	2	44	13	40	39	26	11
39	17	44	0	34	10	10	39	36	5	32
19	44	2	34	0	11	3	1	25	44	39
29	41	44	10	11	0	40	21	8	47	24
40	5	13	10	3	40	0	8	3	5	41
39	10	40	39	1	21	8	0	13	34	32
47	12	39	36	25	8	3	13	0	39	24
11	12	26	5	44	47	5	34	39	0	28
49	8	11	32	39	24	41	32	24	28	0
