13
1	 13	 124	 126	 1	 6
2	 4	 239	 258	 9	 9
3	 38	 107	 125	 8	 10
4	 13	 335	 336	 6	 7
5	 29	 125	 144	 1	 9
6	 9	 341	 350	 3	 7
7	 33	 319	 325	 3	 5
8	 11	 240	 241	 1	 7
9	 20	 279	 291	 4	 4
10	 35	 166	 169	 3	 9
11	 10	 181	 195	 1	 1
12	 22	 232	 245	 1	 1
13	 17	 332	 349	 1	 4
0	11	12	10	11	8	15	6	13	12	6	14	15
5	0	5	9	14	15	12	12	9	12	11	13	10
13	8	0	14	5	9	13	12	6	9	8	7	13
6	14	5	0	14	13	8	14	10	11	11	5	9
9	10	14	9	0	6	9	5	6	9	9	11	14
13	13	10	9	6	0	8	13	12	12	10	14	6
12	8	14	11	10	12	0	13	12	15	6	12	15
15	9	8	7	8	6	5	0	13	11	6	9	9
12	10	14	12	12	7	8	7	0	5	9	6	10
8	12	5	15	11	7	14	13	8	0	12	5	12
8	6	8	7	8	12	8	9	9	6	0	5	12
6	8	6	14	6	9	13	12	7	12	7	0	9
7	11	15	10	11	6	14	6	6	12	8	14	0
