14
1	 28	 267	 280	 4	 5
2	 21	 419	 433	 2	 3
3	 1	 220	 230	 1	 5
4	 20	 235	 241	 6	 9
5	 32	 135	 141	 2	 3
6	 4	 267	 286	 4	 5
7	 7	 436	 443	 3	 4
8	 19	 393	 409	 4	 4
9	 24	 126	 131	 6	 6
10	 8	 365	 376	 2	 6
11	 18	 166	 184	 3	 3
12	 36	 354	 360	 5	 9
13	 37	 431	 433	 5	 5
14	 34	 352	 366	 1	 1
0	14	15	12	11	13	6	7	13	5	15	14	11	15
12	0	11	14	8	14	11	6	12	8	13	10	5	10
12	12	0	6	10	15	15	8	13	14	11	9	10	7
11	10	7	0	10	7	7	12	6	9	13	5	6	13
9	9	13	10	0	9	13	8	12	6	10	8	6	14
14	15	9	13	14	0	8	12	15	13	5	7	10	6
13	7	11	13	7	10	0	9	7	7	14	13	14	10
11	14	12	7	6	14	14	0	8	8	6	5	12	6
5	6	11	15	8	7	8	8	0	5	6	7	15	11
9	10	11	7	9	8	8	15	10	0	14	10	14	13
8	9	11	5	7	15	12	9	14	12	0	9	12	15
11	14	10	15	10	6	5	13	7	14	8	0	5	8
5	7	10	8	7	12	15	13	11	14	8	8	0	9
6	7	11	6	8	12	11	15	15	12	14	12	5	0
