14
1	 26	 62	 77	 2	 5
2	 31	 243	 265	 1	 1
3	 7	 239	 247	 3	 5
4	 39	 289	 293	 1	 1
5	 14	 263	 285	 2	 4
6	 22	 121	 127	 3	 10
7	 8	 205	 218	 1	 9
8	 35	 248	 265	 1	 1
9	 3	 107	 114	 2	 9
10	 36	 107	 116	 6	 6
11	 32	 236	 253	 8	 9
12	 33	 163	 176	 2	 3
13	 31	 299	 302	 1	 1
14	 39	 293	 297	 5	 5
0	9	11	10	10	5	7	5	6	9	10	11	8	14
11	0	11	12	5	5	8	7	7	6	9	5	15	13
14	6	0	8	11	11	6	10	14	8	5	15	5	12
10	15	10	0	14	15	6	9	12	14	15	14	15	15
10	6	7	12	0	6	12	13	13	14	8	13	10	6
11	11	12	5	5	0	9	15	15	13	10	12	6	6
15	5	12	9	11	15	0	9	7	11	6	11	7	6
14	8	14	14	12	6	14	0	9	8	8	10	13	13
13	6	10	15	7	6	6	14	0	10	12	15	6	11
14	5	13	10	10	10	12	13	6	0	9	12	7	15
8	14	8	12	14	12	13	13	7	9	0	6	6	12
8	9	7	12	8	5	11	5	5	15	6	0	5	6
10	10	15	6	7	11	14	13	11	14	7	8	0	6
9	14	10	12	7	5	11	6	9	7	6	9	9	0
