16
1	 39	 -69	 -51	 3	 3
2	 22	 131	 145	 2	 3
3	 29	 29	 32	 1	 6
4	 9	 210	 213	 1	 1
5	 11	 165	 183	 10	 10
6	 5	 -34	 -32	 3	 3
7	 33	 181	 191	 2	 3
8	 19	 26	 31	 1	 10
9	 15	 108	 117	 2	 4
10	 12	 158	 171	 2	 3
11	 11	 153	 156	 1	 1
12	 20	 81	 86	 5	 10
13	 24	 -6	 0	 3	 4
14	 9	 -36	 -19	 5	 6
15	 36	 -72	 -64	 5	 9
16	 19	 62	 78	 2	 3
0	13	15	12	9	12	14	11	10	11	12	6	15	12	10	10
11	0	5	8	10	9	11	9	12	7	12	5	7	8	9	10
12	12	0	9	5	6	9	13	5	13	11	14	11	8	9	14
15	7	7	0	11	12	10	11	7	15	13	7	13	10	15	14
9	15	13	5	0	15	10	5	9	7	10	7	10	6	14	12
5	7	10	11	9	0	10	8	14	6	9	12	7	9	9	10
7	12	8	15	7	5	0	13	11	14	12	9	6	9	14	6
13	15	6	15	7	5	10	0	14	9	15	15	13	14	12	15
14	6	11	10	11	14	8	10	0	7	13	10	5	7	5	15
5	11	15	10	12	5	9	9	11	0	6	11	8	8	7	6
8	12	15	8	9	10	11	9	9	14	0	8	5	9	15	6
8	12	15	14	7	15	13	15	8	15	5	0	8	12	12	8
8	15	8	12	7	15	12	15	8	11	9	6	0	5	14	9
11	6	13	9	11	7	15	9	12	13	15	14	15	0	6	9
15	13	15	14	14	12	8	8	15	10	13	13	15	12	0	11
9	12	6	7	10	10	11	13	7	6	14	11	12	10	15	0
