15
1	 30	 181	 182	 5	 9
2	 25	 213	 220	 5	 7
3	 14	 179	 179	 7	 10
4	 11	 225	 232	 1	 4
5	 4	 97	 109	 2	 9
6	 7	 210	 213	 5	 10
7	 24	 150	 155	 1	 1
8	 8	 126	 136	 1	 1
9	 35	 105	 116	 3	 8
10	 18	 197	 208	 1	 7
11	 13	 239	 243	 1	 2
12	 33	 96	 103	 1	 7
13	 20	 222	 224	 1	 1
14	 5	 99	 103	 4	 4
15	 14	 97	 109	 6	 7
0	11	5	9	7	8	13	5	7	7	14	12	6	12	9
5	0	9	6	8	12	11	13	8	7	15	13	9	11	7
10	8	0	10	13	12	13	8	8	10	7	10	11	15	14
15	7	8	0	13	15	9	6	7	5	12	13	13	5	12
7	12	10	10	0	13	5	15	15	12	9	7	14	14	5
7	13	7	5	14	0	15	9	14	5	5	15	9	15	7
7	9	7	6	15	9	0	8	12	12	11	14	8	11	11
6	7	5	6	15	10	14	0	5	8	14	14	10	8	8
12	11	14	6	6	14	9	14	0	15	10	8	12	5	9
9	13	12	14	8	12	10	7	15	0	5	7	15	10	10
5	9	12	5	14	13	14	5	13	14	0	6	13	13	15
5	6	13	12	11	8	9	9	7	7	14	0	5	7	5
8	10	7	13	14	14	5	11	12	6	15	5	0	13	11
11	12	15	7	7	11	11	11	13	7	15	13	14	0	11
8	7	7	12	7	8	14	11	14	14	12	7	11	7	0
