13
1	 16	 164	 170	 3	 3
2	 21	 173	 176	 1	 3
3	 17	 122	 133	 1	 1
4	 32	 152	 161	 4	 6
5	 13	 135	 145	 2	 2
6	 6	 120	 126	 6	 8
7	 23	 155	 166	 4	 8
8	 40	 147	 153	 4	 7
9	 22	 193	 193	 1	 1
10	 7	 192	 200	 1	 3
11	 12	 151	 154	 4	 5
12	 9	 195	 203	 1	 7
13	 18	 186	 197	 2	 4
0	7	5	12	13	10	8	11	12	15	8	5	10
15	0	6	8	9	12	7	13	14	10	8	8	11
9	13	0	10	6	5	12	9	10	10	8	12	10
12	8	9	0	10	10	14	14	12	6	7	13	7
12	7	14	5	0	11	15	11	8	15	15	7	15
11	5	11	14	8	0	5	14	9	7	6	6	15
6	13	14	7	12	9	0	14	8	5	14	9	11
10	5	10	10	13	10	9	0	13	5	7	6	8
9	7	14	13	15	15	15	15	0	13	9	10	5
7	6	6	11	13	5	6	14	15	0	12	5	12
12	7	5	5	12	12	12	7	12	5	0	10	5
11	6	10	12	6	7	9	6	8	12	15	0	13
15	14	15	13	9	15	10	14	13	13	9	12	0
