18
1	 36	 110	 127	 6	 10
2	 30	 155	 176	 1	 1
3	 12	 219	 238	 4	 4
4	 6	 262	 280	 1	 3
5	 9	 175	 194	 3	 4
6	 36	 245	 257	 5	 6
7	 11	 120	 141	 7	 9
8	 9	 145	 150	 6	 8
9	 23	 146	 160	 2	 4
10	 36	 257	 276	 6	 6
11	 22	 224	 235	 4	 6
12	 5	 154	 159	 5	 5
13	 9	 200	 218	 10	 10
14	 23	 192	 213	 1	 1
15	 29	 213	 232	 3	 4
16	 38	 133	 134	 7	 7
17	 36	 203	 213	 7	 8
18	 19	 240	 250	 4	 4
0	15	10	5	15	9	12	5	5	8	10	15	9	7	10	11	9	14
7	0	9	15	12	5	15	15	7	5	6	9	6	11	15	11	13	15
10	6	0	12	9	6	9	13	11	6	15	14	9	12	5	7	13	5
7	14	5	0	6	6	9	11	14	14	13	6	14	11	14	13	6	15
12	9	11	7	0	7	14	15	11	7	15	11	7	12	5	13	12	14
5	10	6	7	15	0	13	10	9	12	11	9	15	9	11	15	6	5
7	5	13	11	9	8	0	11	10	11	15	7	8	11	8	6	9	7
12	8	11	9	6	6	8	0	7	10	10	6	15	10	9	10	12	6
9	7	5	7	11	5	13	10	0	10	6	14	5	11	5	6	6	9
6	11	15	10	12	11	11	15	7	0	9	11	10	9	9	15	9	7
6	5	14	11	15	5	10	13	15	14	0	13	10	12	15	6	12	8
13	11	5	10	7	7	15	7	8	10	7	0	9	10	6	11	15	15
5	5	6	10	10	10	8	11	13	14	9	5	0	6	15	10	7	6
15	7	11	7	11	7	12	12	12	8	13	14	5	0	8	6	7	5
13	9	11	13	8	15	12	10	14	8	6	5	14	7	0	8	6	6
5	12	15	9	15	5	7	7	10	5	9	14	13	7	7	0	8	10
7	15	9	13	13	5	14	9	7	12	6	5	10	13	14	10	0	10
10	12	13	12	7	14	8	7	12	13	6	5	12	13	15	6	7	0
