13
1	 26	 150	 162	 1	 7
2	 7	 264	 265	 1	 3
3	 7	 188	 198	 5	 6
4	 33	 108	 123	 3	 10
5	 16	 150	 160	 5	 8
6	 28	 252	 272	 4	 7
7	 28	 108	 126	 3	 4
8	 12	 99	 102	 3	 9
9	 29	 114	 127	 2	 6
10	 18	 100	 120	 3	 6
11	 4	 151	 160	 7	 9
12	 20	 177	 180	 2	 3
13	 40	 162	 163	 4	 6
0	8	10	8	10	8	8	12	12	8	6	15	10
8	0	14	9	6	14	7	15	6	8	6	6	6
14	13	0	5	10	14	7	11	14	9	12	13	8
15	9	5	0	12	10	9	9	15	6	14	15	7
9	15	11	9	0	8	12	8	13	15	8	6	13
14	5	14	12	14	0	6	6	11	11	8	9	5
14	6	8	9	11	12	0	6	8	9	12	11	11
9	6	7	7	13	14	13	0	12	13	5	12	11
9	8	14	11	8	9	11	9	0	15	15	14	12
13	6	8	7	10	9	8	13	15	0	5	11	6
12	9	10	12	14	7	8	6	14	12	0	15	12
6	9	15	7	7	15	8	10	15	15	8	0	14
15	10	13	10	12	6	8	8	9	5	12	13	0
