18
1	 7	 96	 111	 1	 2
2	 9	 239	 251	 2	 8
3	 36	 357	 364	 4	 4
4	 32	 331	 352	 1	 5
5	 22	 265	 273	 7	 9
6	 32	 149	 158	 3	 4
7	 11	 343	 355	 10	 10
8	 37	 137	 139	 9	 9
9	 37	 123	 128	 1	 1
10	 24	 204	 223	 2	 7
11	 21	 373	 373	 2	 5
12	 39	 148	 167	 1	 3
13	 11	 238	 249	 1	 1
14	 40	 298	 303	 1	 1
15	 15	 82	 106	 2	 2
16	 8	 186	 195	 1	 1
17	 32	 354	 364	 6	 7
18	 30	 266	 276	 3	 6
0	11	8	14	9	14	15	7	15	13	8	15	8	12	6	14	7	8
15	0	5	6	6	9	13	9	12	7	6	7	5	7	14	12	7	12
15	9	0	13	11	8	7	14	6	8	14	9	11	14	13	15	8	8
14	13	8	0	9	9	7	14	14	5	11	13	7	13	13	14	14	6
15	12	7	6	0	12	10	14	8	13	14	7	9	10	15	13	13	13
10	14	12	8	7	0	6	10	13	8	7	15	9	11	15	5	11	8
14	11	14	8	6	6	0	12	11	14	8	6	14	9	8	8	8	7
13	7	9	13	8	12	10	0	13	12	10	9	12	6	8	13	10	14
8	9	15	5	15	6	12	8	0	12	7	6	14	8	15	15	14	6
11	13	10	5	7	7	9	5	6	0	11	5	12	5	7	12	6	9
8	5	12	5	13	14	13	7	12	14	0	5	7	9	5	8	5	6
15	15	10	14	9	14	12	8	14	8	15	0	5	15	10	7	12	10
8	14	13	10	7	10	6	11	8	6	13	11	0	6	7	5	6	14
8	10	7	5	11	12	11	14	5	7	7	13	9	0	6	13	13	11
10	11	13	8	14	14	10	11	10	6	9	5	12	6	0	15	14	6
12	6	11	15	11	14	12	15	8	5	8	10	13	12	12	0	6	12
7	9	8	8	7	15	14	10	7	11	5	6	5	7	9	15	0	10
6	14	7	13	9	7	11	15	11	12	11	6	10	12	13	6	6	0
