12
1	 15	 236	 239	 3	 5
2	 32	 77	 93	 2	 3
3	 3	 212	 213	 6	 6
4	 2	 216	 231	 2	 3
5	 15	 158	 176	 1	 1
6	 33	 -14	 1	 1	 4
7	 18	 54	 55	 4	 9
8	 30	 -18	 -10	 5	 8
9	 19	 127	 127	 2	 3
10	 7	 -1	 -1	 2	 9
11	 12	 131	 139	 1	 4
12	 37	 22	 23	 1	 2
0	14	13	8	14	5	13	7	11	14	6	10
6	0	12	15	7	13	11	11	14	14	14	9
12	5	0	8	15	10	13	15	9	15	6	9
13	15	9	0	7	12	8	6	10	13	9	11
5	15	13	5	0	6	6	9	14	11	5	12
14	13	14	6	14	0	5	7	11	11	12	10
11	15	7	15	8	5	0	8	15	11	8	15
8	6	7	6	14	6	13	0	13	7	8	5
12	8	15	7	13	14	15	8	0	8	8	5
8	7	5	12	5	14	5	10	11	0	14	12
15	10	9	15	5	12	14	6	8	7	0	11
5	8	14	15	9	12	12	12	14	5	9	0
