13
1	 40	 283	 303	 10	 10
2	 25	 340	 343	 5	 7
3	 40	 -8	 -3	 1	 1
4	 34	 331	 335	 10	 10
5	 11	 -12	 -4	 3	 4
6	 10	 43	 64	 1	 2
7	 18	 -10	 16	 1	 10
8	 33	 378	 400	 5	 6
9	 36	 236	 248	 3	 9
10	 26	 -50	 -32	 4	 4
11	 23	 119	 127	 3	 7
12	 35	 193	 203	 3	 3
13	 25	 -22	 5	 4	 4
0	9	5	14	13	8	10	14	11	5	7	8	9
14	0	13	7	13	11	6	12	9	13	14	14	12
6	6	0	5	15	8	12	11	8	14	8	15	7
14	14	14	0	12	13	11	10	11	7	13	13	6
5	5	7	10	0	6	7	6	8	13	12	7	14
7	12	7	14	6	0	11	15	7	5	6	6	11
13	7	10	5	10	6	0	11	14	10	11	9	7
5	8	12	9	13	9	9	0	11	6	6	9	11
6	10	12	8	13	13	7	5	0	9	9	14	11
7	7	9	11	15	12	8	5	14	0	11	10	12
7	13	11	7	8	6	12	14	10	8	0	8	9
8	8	13	10	7	10	9	13	5	15	5	0	8
13	6	7	8	9	13	14	12	6	9	12	14	0
