14
1	 34	 -92	 -91	 2	 9
2	 14	 159	 173	 4	 4
3	 7	 120	 120	 1	 6
4	 36	 188	 190	 2	 4
5	 8	 77	 83	 1	 1
6	 16	 113	 128	 1	 3
7	 10	 -56	 -35	 1	 4
8	 18	 131	 132	 4	 4
9	 39	 149	 156	 1	 8
10	 22	 144	 160	 1	 2
11	 13	 -30	 -15	 1	 1
12	 24	 96	 103	 4	 6
13	 36	 115	 131	 7	 9
14	 40	 137	 155	 8	 9
0	14	8	14	9	13	11	11	10	5	15	5	8	7
10	0	7	7	13	14	13	15	11	12	12	7	12	6
9	6	0	7	10	9	6	8	5	6	5	15	6	12
12	13	7	0	6	14	14	13	8	12	10	12	13	14
11	14	5	6	0	13	14	13	13	8	9	10	7	12
6	11	13	9	8	0	7	13	13	6	12	10	14	7
12	15	9	15	7	9	0	7	6	9	9	14	10	10
14	6	8	10	12	10	13	0	14	5	12	8	10	7
6	8	12	15	15	8	11	9	0	5	15	5	6	13
7	7	6	12	5	9	11	14	5	0	11	9	9	11
15	9	5	10	12	13	11	14	8	11	0	12	10	6
10	8	9	7	10	7	6	8	8	14	14	0	11	12
14	5	8	9	13	9	13	10	11	7	9	8	0	12
5	11	6	8	6	12	15	7	12	7	5	12	12	0
