12
1	 26	 379	 396	 1	 2
2	 10	 311	 312	 2	 7
3	 29	 305	 314	 5	 10
4	 18	 307	 322	 3	 5
5	 30	 120	 139	 3	 3
6	 5	 147	 155	 1	 3
7	 23	 220	 229	 2	 8
8	 36	 157	 165	 3	 7
9	 38	 73	 99	 10	 10
10	 40	 160	 182	 2	 5
11	 35	 22	 42	 5	 6
12	 22	 192	 215	 5	 9
0	12	11	6	5	5	11	5	8	14	12	14
10	0	10	12	7	15	5	5	5	10	10	8
9	11	0	12	11	13	8	10	8	14	10	5
10	8	12	0	10	12	15	7	14	15	7	8
15	15	12	14	0	15	5	6	5	15	7	13
10	15	12	6	11	0	7	15	15	9	15	7
6	11	13	9	7	15	0	13	12	12	9	14
9	7	12	10	11	15	14	0	11	5	5	15
14	15	13	15	14	15	9	11	0	7	6	12
6	8	15	6	8	14	10	6	6	0	12	9
14	6	9	15	12	5	8	12	6	11	0	13
15	8	10	7	9	14	5	11	6	6	15	0
