40
1	 21	 725	 747	 5	 6
2	 15	 856	 875	 1	 6
3	 22	 700	 713	 6	 7
4	 8	 825	 835	 1	 8
5	 8	 846	 847	 2	 7
6	 20	 743	 744	 4	 5
7	 17	 968	 971	 3	 6
8	 17	 745	 750	 3	 10
9	 26	 704	 704	 1	 2
10	 30	 736	 755	 1	 2
11	 39	 883	 894	 1	 5
12	 40	 644	 661	 4	 6
13	 38	 933	 940	 1	 8
14	 19	 977	 989	 6	 10
15	 14	 797	 799	 3	 10
16	 15	 745	 748	 1	 2
17	 11	 920	 933	 2	 4
18	 8	 850	 859	 1	 9
19	 36	 688	 709	 1	 1
20	 29	 744	 756	 3	 3
21	 32	 665	 677	 2	 9
22	 8	 982	 982	 1	 1
23	 33	 670	 682	 4	 7
24	 31	 651	 662	 4	 5
25	 16	 639	 643	 1	 1
26	 31	 957	 974	 7	 10
27	 35	 850	 872	 7	 7
28	 32	 867	 879	 1	 2
29	 7	 632	 648	 1	 1
30	 30	 847	 854	 2	 6
31	 35	 682	 701	 1	 7
32	 39	 714	 715	 2	 6
33	 5	 628	 645	 3	 5
34	 38	 954	 973	 4	 4
35	 6	 924	 928	 1	 2
36	 32	 973	 983	 1	 9
37	 35	 976	 995	 3	 4
38	 10	 767	 783	 1	 3
39	 6	 645	 663	 1	 1
40	 5	 932	 932	 1	 1
0	7	8	11	15	8	12	13	14	9	13	14	5	11	12	5	7	15	12	5	10	14	14	12	14	5	12	11	7	7	15	9	6	6	15	13	15	6	15	13
8	0	10	11	10	7	15	12	11	13	6	11	10	8	10	6	5	5	6	8	6	15	5	14	9	14	13	15	6	10	13	11	11	5	6	9	8	5	15	15
6	6	0	9	11	14	14	14	11	14	14	10	12	13	7	14	9	11	12	9	15	11	11	8	10	14	6	10	12	6	13	10	11	15	8	10	7	10	11	13
9	7	7	0	5	5	5	7	9	5	13	14	10	8	8	9	6	9	8	12	14	11	6	7	12	5	6	11	8	5	7	15	5	10	6	13	8	7	15	15
6	7	5	14	0	7	13	14	8	11	8	11	12	9	5	8	14	11	12	15	9	10	9	13	5	7	6	6	8	10	14	8	8	15	12	13	11	15	7	8
14	11	13	10	6	0	8	7	13	7	10	13	15	9	7	13	11	15	7	9	14	7	12	14	10	6	14	9	5	15	11	6	14	7	13	10	12	11	10	10
9	11	11	15	6	14	0	14	6	5	7	15	10	13	15	9	6	10	5	10	13	13	8	11	7	9	9	8	5	5	10	13	15	14	10	15	5	7	13	12
10	15	9	12	11	8	7	0	8	14	12	10	11	14	7	8	13	6	9	8	8	15	13	9	6	10	12	5	10	12	13	13	14	15	10	11	9	14	7	10
9	13	6	11	12	12	7	7	0	6	9	13	14	9	12	8	5	8	13	8	10	10	9	10	10	9	7	7	7	15	10	14	5	7	8	10	6	12	10	6
14	7	8	12	12	7	14	6	15	0	9	9	10	11	15	8	9	13	11	14	13	10	14	5	8	12	12	14	7	8	12	10	5	8	12	10	10	8	12	11
12	8	8	13	14	9	14	8	10	6	0	9	15	13	8	13	9	15	7	5	13	13	11	12	12	5	15	13	7	9	5	10	15	13	10	10	6	12	11	10
11	12	9	11	8	11	14	6	7	10	13	0	9	12	13	9	10	7	13	9	7	12	10	15	11	14	14	11	8	14	13	5	9	15	15	14	10	8	10	9
13	14	9	8	12	15	7	11	8	11	12	7	0	10	9	10	5	8	8	9	10	12	13	12	6	14	9	8	13	13	11	15	8	14	6	11	6	5	15	8
13	11	8	11	5	14	7	9	9	12	7	10	9	0	12	5	6	11	14	15	6	5	5	10	15	14	7	5	15	7	15	6	8	6	14	5	6	9	9	11
5	9	12	13	12	10	7	6	11	8	12	7	14	5	0	14	8	7	5	9	8	12	8	7	7	12	15	7	7	14	13	6	15	15	5	15	5	12	8	5
10	5	8	8	12	13	11	8	7	10	13	9	5	10	7	0	11	14	14	15	7	13	15	15	5	13	13	11	11	15	5	6	10	5	12	10	7	15	11	5
7	7	15	7	14	15	7	11	10	6	10	11	11	5	15	15	0	7	10	12	14	5	10	6	9	5	15	9	7	12	6	10	10	12	7	15	11	14	11	14
12	15	5	6	15	5	10	8	5	12	11	10	11	7	14	15	12	0	8	9	14	11	6	12	9	6	7	10	13	13	14	6	15	5	5	9	10	10	5	8
14	12	15	7	13	10	12	9	14	11	9	13	10	12	8	10	5	5	0	7	9	8	12	6	13	12	14	6	11	12	7	12	12	8	8	9	8	11	15	5
12	5	7	8	6	11	13	15	8	14	10	7	14	12	13	9	7	8	13	0	15	10	12	15	10	14	12	6	11	9	10	5	11	7	14	13	13	5	7	13
12	11	11	11	6	14	13	9	15	8	11	6	11	15	9	12	9	14	14	5	0	9	14	8	7	9	8	8	6	13	7	7	7	10	5	14	5	14	14	8
13	5	15	6	6	15	5	9	13	7	5	13	6	11	12	14	9	7	5	6	14	0	10	11	14	14	14	8	7	8	12	12	12	15	11	12	6	9	15	7
12	7	10	9	13	7	13	10	13	9	7	15	8	14	13	11	7	14	9	7	8	10	0	8	7	5	10	6	15	8	15	9	5	6	8	5	15	8	15	15
11	14	7	6	14	11	7	13	7	12	15	7	13	15	13	15	7	13	10	5	14	9	11	0	13	14	14	6	11	7	8	12	6	8	13	6	12	15	10	10
5	9	15	14	11	13	9	5	15	9	12	7	14	10	12	8	9	13	14	6	8	12	14	8	0	9	8	11	12	13	15	9	6	15	13	9	15	9	12	15
13	5	7	13	14	11	5	11	8	13	10	6	10	15	11	6	12	15	10	8	11	10	10	13	11	0	5	12	14	5	9	7	11	14	9	13	11	5	13	5
6	14	13	5	10	13	6	6	11	10	8	11	9	12	12	10	11	8	12	11	14	5	13	13	11	6	0	15	12	5	13	15	13	6	7	8	10	10	9	5
10	11	10	10	7	10	12	5	11	5	7	7	13	10	13	12	9	12	6	13	10	14	10	13	8	10	12	0	11	13	7	8	8	5	6	5	12	13	7	15
13	12	12	14	14	11	14	6	14	14	11	8	10	9	15	9	11	5	6	8	11	10	14	15	14	7	7	10	0	11	10	7	6	7	5	8	10	8	5	12
8	11	12	10	11	7	11	11	8	9	12	13	7	12	6	15	13	13	15	5	15	11	10	13	10	10	7	5	13	0	5	6	7	14	15	14	14	5	14	11
15	12	8	15	6	7	11	14	11	6	11	15	13	14	12	13	12	11	11	9	14	13	7	9	9	12	9	14	6	7	0	12	6	12	8	13	10	12	7	5
11	13	11	11	15	15	6	15	5	5	8	8	7	12	8	11	9	15	14	9	15	10	10	10	14	6	14	7	12	5	13	0	7	5	7	10	6	14	11	13
9	13	12	9	14	9	13	5	11	12	7	8	15	6	9	14	7	15	10	13	14	15	8	12	6	10	6	13	13	5	8	8	0	11	7	8	5	7	13	10
5	13	12	15	8	15	10	14	6	13	11	13	14	8	14	9	10	9	5	7	5	10	6	11	13	6	10	15	7	14	15	11	5	0	9	11	9	5	15	12
11	8	14	6	8	10	15	14	14	6	11	8	7	13	10	5	14	8	15	7	12	11	9	10	7	6	12	6	6	6	11	12	12	9	0	11	6	9	8	11
