16
1	 12	 177	 177	 1	 2
2	 36	 156	 164	 1	 1
3	 6	 100	 111	 1	 5
4	 39	 185	 191	 1	 4
5	 19	 136	 150	 9	 10
6	 7	 130	 134	 1	 3
7	 21	 283	 297	 1	 8
8	 15	 125	 141	 1	 1
9	 14	 185	 187	 2	 3
10	 10	 102	 113	 1	 3
11	 11	 288	 294	 1	 1
12	 5	 185	 185	 1	 1
13	 17	 186	 187	 3	 8
14	 22	 148	 149	 1	 3
15	 35	 254	 265	 5	 8
16	 20	 184	 191	 6	 7
0	6	8	6	12	12	13	11	9	10	14	15	15	12	9	12
7	0	13	5	12	12	7	7	9	11	15	7	15	15	5	11
11	9	0	5	11	8	13	7	6	15	5	15	10	10	14	9
12	12	5	0	10	14	9	8	12	14	11	5	5	9	8	13
9	6	6	7	0	15	14	5	10	8	10	6	12	14	12	8
15	10	8	15	6	0	6	5	11	12	9	14	13	8	10	9
10	11	8	15	9	10	0	5	8	6	13	13	14	10	10	12
10	8	15	10	10	5	14	0	14	10	8	9	14	8	5	5
10	11	6	6	13	12	13	15	0	7	6	15	10	7	15	11
6	8	6	7	6	8	11	15	8	0	13	8	7	10	11	6
10	13	7	15	13	14	15	9	12	11	0	14	13	9	11	10
6	5	15	14	15	13	9	5	13	9	9	0	15	9	11	6
8	12	11	5	6	7	5	5	14	12	5	10	0	7	10	7
10	8	6	13	14	9	8	12	11	7	8	11	15	0	5	8
6	5	9	11	6	9	7	11	6	14	12	13	15	12	0	7
5	14	11	9	15	15	14	9	11	5	15	15	10	12	7	0
