17
1	 31	 269	 282	 1	 3
2	 30	 379	 395	 1	 7
3	 33	 333	 347	 3	 10
4	 15	 261	 274	 2	 3
5	 25	 282	 300	 8	 8
6	 6	 385	 385	 5	 5
7	 13	 286	 300	 8	 10
8	 14	 263	 279	 1	 1
9	 24	 321	 337	 1	 8
10	 20	 252	 266	 9	 9
11	 32	 349	 359	 6	 9
12	 33	 272	 284	 2	 2
13	 31	 321	 334	 4	 9
14	 27	 255	 261	 4	 10
15	 9	 383	 404	 4	 4
16	 21	 341	 343	 6	 8
17	 2	 331	 341	 1	 1
0	9	5	6	7	5	9	6	11	6	14	6	11	12	10	7	6
8	0	10	5	12	5	5	8	5	5	11	7	7	6	9	15	11
11	8	0	13	14	7	13	9	6	12	11	14	6	15	14	11	15
13	10	14	0	6	13	8	9	9	14	6	5	13	10	11	13	14
14	7	9	10	0	9	15	14	7	7	5	7	5	5	6	13	13
5	6	11	14	15	0	15	9	6	14	7	15	9	11	10	12	15
8	8	12	13	9	11	0	10	8	7	6	7	8	14	8	13	14
9	8	13	13	6	13	9	0	9	13	9	8	9	15	14	7	7
15	5	6	15	12	11	11	10	0	12	13	7	12	15	5	11	11
14	14	9	13	11	12	11	7	7	0	10	15	15	6	13	15	8
15	13	9	12	11	10	15	12	7	8	0	15	10	9	15	10	11
6	13	14	5	11	9	14	9	7	5	13	0	14	6	14	8	12
6	13	5	14	12	11	12	10	9	8	7	5	0	12	12	14	8
9	9	14	15	13	5	11	15	6	6	7	14	10	0	13	6	13
12	8	8	9	14	10	15	6	15	15	5	7	6	6	0	5	8
8	9	10	11	7	10	5	12	14	6	15	13	10	9	6	0	12
8	14	5	13	5	13	9	11	12	15	13	13	11	11	9	12	0
