20
1	 28	 263	 282	 2	 2
2	 7	 223	 240	 3	 4
3	 6	 434	 449	 2	 2
4	 22	 57	 73	 5	 8
5	 6	 332	 347	 5	 7
6	 39	 38	 52	 3	 9
7	 37	 308	 308	 4	 6
8	 40	 79	 97	 4	 4
9	 13	 73	 89	 3	 9
10	 19	 89	 90	 4	 6
11	 33	 356	 372	 4	 6
12	 8	 77	 93	 1	 1
13	 20	 412	 417	 8	 8
14	 23	 171	 187	 2	 2
15	 18	 460	 478	 7	 9
16	 26	 81	 100	 3	 8
17	 32	 491	 499	 3	 9
18	 30	 88	 103	 6	 8
19	 22	 4	 11	 2	 2
20	 20	 57	 77	 2	 7
0	7	6	12	13	14	7	15	15	15	12	9	6	13	8	13	6	7	5	9
7	0	15	15	15	9	8	6	6	14	14	15	15	13	10	14	5	11	5	11
11	14	0	9	5	11	11	9	9	10	12	5	6	10	5	7	7	10	13	6
15	15	7	0	15	9	7	9	6	12	8	12	11	6	11	12	10	15	9	15
10	13	13	5	0	5	8	6	14	7	13	8	11	14	13	10	7	5	9	15
10	6	6	13	7	0	6	11	9	11	12	8	7	15	15	14	10	7	6	14
12	12	10	12	8	11	0	10	10	15	9	15	9	8	11	12	12	7	15	15
14	8	6	5	7	8	9	0	11	11	14	7	14	8	13	10	15	9	9	7
14	7	7	12	9	12	9	15	0	13	15	5	14	10	9	15	11	7	10	11
12	9	13	7	10	13	6	12	5	0	14	14	13	10	12	12	15	9	5	9
11	8	6	12	13	6	6	8	14	10	0	8	7	9	5	9	12	13	5	7
8	12	14	5	6	12	10	8	14	6	7	0	15	7	14	15	14	6	8	6
9	13	9	10	7	8	7	14	15	10	15	6	0	14	13	12	10	9	8	13
14	7	6	9	15	7	6	12	10	15	9	9	8	0	11	6	6	10	9	8
10	7	15	8	8	7	11	10	7	8	8	10	12	15	0	5	10	15	14	5
6	15	8	7	12	8	13	15	7	15	5	10	15	9	9	0	15	11	6	9
14	9	15	12	8	8	13	14	6	14	11	11	10	14	12	11	0	8	5	15
6	9	9	15	14	11	12	5	12	5	9	13	13	11	7	11	14	0	7	8
5	5	5	11	6	12	9	7	10	7	14	9	6	10	5	12	5	15	0	8
5	13	14	11	6	11	6	9	10	5	8	14	15	6	9	9	5	11	5	0
