15
1	 40	 224	 248	 1	 3
2	 37	 211	 212	 7	 9
3	 39	 50	 64	 2	 7
4	 5	 80	 101	 2	 9
5	 17	 64	 83	 2	 3
6	 30	 145	 148	 3	 10
7	 1	 93	 95	 5	 5
8	 9	 272	 294	 2	 2
9	 38	 190	 191	 2	 4
10	 39	 286	 301	 1	 1
11	 38	 81	 81	 3	 7
12	 14	 290	 293	 1	 1
13	 34	 104	 124	 1	 2
14	 6	 217	 220	 9	 9
15	 16	 283	 293	 5	 10
0	10	5	15	14	9	6	9	10	12	10	11	11	11	12
10	0	12	9	9	12	8	5	13	14	9	5	15	12	13
13	6	0	12	14	13	8	12	5	7	8	6	10	6	10
8	11	11	0	7	15	11	10	12	10	9	9	6	6	15
10	7	10	9	0	6	9	11	5	5	7	5	5	9	10
15	8	8	6	8	0	6	12	10	10	5	13	10	5	7
9	15	14	8	9	6	0	14	10	13	6	14	15	10	11
6	10	7	10	9	7	12	0	11	9	15	9	7	5	9
8	15	6	6	11	12	11	13	0	15	11	10	13	12	15
14	5	6	14	15	13	11	5	15	0	9	10	7	9	13
10	14	14	9	9	6	10	15	8	9	0	10	5	11	15
13	8	7	11	5	5	15	11	13	6	13	0	6	5	14
14	11	13	15	5	6	11	5	10	7	5	8	0	15	12
5	14	15	6	14	14	15	5	14	10	7	14	5	0	14
15	7	15	11	11	6	7	9	8	7	8	5	11	5	0
