11
1	 10	 154	 162	 3	 10
2	 5	 71	 82	 2	 10
3	 29	 81	 82	 2	 10
4	 11	 99	 104	 6	 9
5	 34	 224	 231	 2	 2
6	 33	 213	 220	 1	 10
7	 9	 126	 138	 3	 4
8	 13	 104	 115	 1	 10
9	 6	 200	 209	 5	 10
10	 20	 225	 233	 5	 6
11	 3	 69	 72	 1	 1
0	10	10	14	5	6	5	13	10	10	15
10	0	5	13	12	15	10	13	14	8	11
6	15	0	5	14	15	9	6	5	14	13
7	15	6	0	13	13	7	9	12	10	12
6	14	9	7	0	7	11	5	9	12	7
11	5	6	5	13	0	14	8	5	10	13
9	10	9	11	15	7	0	7	5	8	8
12	5	8	10	9	9	12	0	6	14	5
7	10	7	9	7	8	14	6	0	7	8
8	7	14	12	7	9	14	13	9	0	15
13	11	6	9	7	13	8	6	10	12	0
