20
1	 9	 209	 221	 3	 6
2	 40	 300	 302	 1	 1
3	 13	 -175	 -162	 3	 3
4	 34	 224	 226	 2	 5
5	 31	 123	 131	 3	 6
6	 22	 202	 216	 5	 9
7	 26	 -71	 -56	 2	 3
8	 14	 -9	 2	 8	 8
9	 8	 -33	 -21	 2	 8
10	 16	 -38	 -27	 7	 8
11	 15	 226	 243	 5	 5
12	 29	 147	 164	 3	 3
13	 28	 236	 241	 1	 6
14	 21	 -102	 -92	 6	 10
15	 23	 -15	 -15	 1	 2
16	 9	 -182	 -175	 3	 8
17	 5	 55	 68	 7	 9
18	 34	 125	 134	 2	 2
19	 15	 -144	 -126	 3	 8
20	 15	 243	 262	 8	 9
0	9	12	10	8	11	8	9	11	7	15	5	7	13	5	6	13	7	11	7
12	0	11	13	13	12	12	7	5	7	8	7	14	5	7	12	10	8	12	7
12	8	0	6	6	10	13	9	13	8	13	7	13	11	5	9	7	8	8	6
13	7	9	0	5	7	8	10	14	11	9	10	5	9	6	6	10	13	14	10
7	7	12	10	0	14	7	15	13	8	12	8	12	7	6	6	11	10	10	12
15	10	5	6	9	0	6	14	8	9	9	15	15	8	9	5	7	9	13	15
15	13	13	8	15	13	0	13	5	15	14	14	9	12	5	14	12	14	7	14
12	5	9	8	10	15	6	0	14	9	15	15	10	7	15	12	11	9	12	14
11	12	13	13	6	11	12	11	0	15	7	11	12	5	13	5	11	5	7	7
14	11	13	8	8	8	7	15	5	0	6	6	15	5	14	14	13	12	14	12
6	5	11	11	9	9	5	12	5	11	0	6	11	11	9	11	14	14	8	11
7	9	12	7	13	9	7	5	9	13	12	0	11	15	6	7	11	14	13	10
15	10	10	15	8	12	12	7	11	6	14	5	0	7	5	5	14	13	7	11
15	10	15	14	9	6	15	6	7	15	10	7	6	0	11	13	15	15	7	12
7	9	10	13	5	6	7	15	13	7	13	8	12	7	0	5	14	14	10	11
6	12	6	14	14	13	13	12	5	5	13	5	5	5	11	0	13	5	13	14
12	12	11	11	11	6	13	8	13	14	9	5	14	5	15	5	0	11	7	13
7	10	10	15	8	5	9	11	9	14	7	15	11	13	10	14	6	0	6	10
8	14	5	13	14	13	14	14	14	13	10	12	11	9	13	10	8	7	0	8
13	15	12	7	10	7	15	12	13	7	11	14	8	6	13	6	9	5	9	0
