13
1	 40	 -9	 1	 1	 9
2	 21	 160	 167	 5	 8
3	 15	 173	 179	 1	 1
4	 21	 -83	 -76	 1	 5
5	 16	 78	 83	 4	 4
6	 4	 -75	 -59	 1	 1
7	 4	 91	 106	 7	 9
8	 15	 73	 90	 4	 8
9	 7	 137	 150	 6	 7
10	 19	 134	 150	 1	 1
11	 39	 168	 174	 4	 5
12	 1	 18	 34	 3	 3
13	 21	 71	 84	 1	 1
0	15	11	13	11	11	5	8	6	12	9	5	7
12	0	11	14	9	13	13	13	15	6	13	5	14
7	10	0	6	14	13	11	13	7	9	13	13	13
12	14	12	0	13	14	10	9	7	11	5	7	14
12	14	12	15	0	11	8	13	9	12	15	12	12
7	9	8	13	7	0	12	6	10	9	15	8	10
6	13	12	11	6	6	0	15	15	15	11	15	11
7	11	13	9	10	8	7	0	8	14	13	10	12
14	14	6	7	7	6	12	12	0	14	7	12	9
7	5	13	10	8	15	15	7	15	0	9	15	5
8	6	10	14	5	13	9	9	9	7	0	7	14
14	15	15	9	7	14	7	15	11	11	8	0	9
5	6	12	12	10	15	6	9	14	9	11	14	0
