18
1	 22	 205	 215	 3	 8
2	 32	 355	 362	 1	 1
3	 21	 127	 138	 2	 3
4	 11	 158	 175	 4	 5
5	 3	 98	 106	 1	 8
6	 24	 128	 131	 1	 2
7	 27	 243	 264	 1	 3
8	 25	 296	 297	 7	 10
9	 33	 35	 45	 4	 5
10	 4	 377	 384	 6	 7
11	 24	 58	 78	 3	 5
12	 5	 188	 192	 5	 5
13	 25	 274	 291	 1	 3
14	 34	 210	 225	 1	 9
15	 7	 157	 162	 2	 6
16	 31	 335	 335	 2	 2
17	 36	 338	 355	 1	 7
18	 28	 242	 258	 3	 4
0	9	8	6	10	8	15	7	5	11	13	8	8	5	14	12	10	10
14	0	14	6	14	7	12	5	8	10	6	9	7	13	14	7	9	13
9	6	0	7	10	6	6	15	11	8	6	13	10	7	9	5	14	12
12	9	12	0	15	13	10	11	7	6	10	8	5	6	6	11	9	15
7	7	8	13	0	6	7	15	13	10	14	7	6	11	5	9	9	9
10	14	7	11	15	0	8	15	10	8	10	8	13	7	5	6	9	12
7	13	12	6	13	10	0	12	13	8	6	12	5	10	15	10	13	10
15	8	13	12	14	14	6	0	10	11	9	7	10	7	12	13	11	10
15	14	5	5	6	9	15	11	0	8	12	8	7	14	5	11	15	15
8	15	13	10	11	14	10	7	8	0	11	15	15	10	6	6	9	5
9	13	8	11	10	13	8	14	15	5	0	10	9	14	13	15	10	8
13	9	13	11	9	6	13	12	14	8	11	0	15	10	8	10	5	5
13	11	15	15	5	9	15	15	9	8	14	5	0	15	13	7	11	11
8	13	5	13	13	11	9	7	8	7	8	15	11	0	10	14	15	5
9	12	6	8	13	12	8	9	7	15	15	9	13	8	0	11	10	5
9	9	7	10	10	15	5	12	10	9	14	5	6	13	5	0	8	9
15	9	9	7	9	7	11	12	13	8	9	6	7	14	6	5	0	14
5	7	7	9	14	13	12	11	10	12	6	7	7	9	14	8	12	0
