13
1	 14	 117	 130	 4	 6
2	 39	 166	 174	 1	 2
3	 3	 197	 213	 8	 8
4	 32	 177	 182	 1	 1
5	 31	 128	 131	 1	 1
6	 15	 179	 199	 8	 9
7	 5	 90	 93	 3	 4
8	 20	 198	 213	 1	 9
9	 32	 189	 200	 1	 1
10	 21	 148	 154	 5	 7
11	 10	 80	 97	 2	 7
12	 14	 211	 218	 2	 7
13	 25	 123	 132	 2	 5
0	7	11	11	10	5	10	11	5	5	15	12	5
5	0	8	14	7	5	10	11	15	6	13	11	13
5	13	0	14	14	11	6	14	6	8	13	15	8
10	9	10	0	7	13	15	15	6	8	8	11	7
5	11	11	13	0	8	5	6	10	5	12	6	9
9	7	6	12	7	0	9	12	7	15	5	12	6
8	5	8	9	5	8	0	14	14	6	5	10	6
13	9	10	7	11	14	7	0	13	5	9	14	11
10	5	13	11	15	8	15	5	0	5	10	5	11
5	5	15	13	12	5	14	9	5	0	9	10	15
10	9	11	12	5	8	10	9	5	15	0	9	15
5	6	10	14	12	13	5	12	15	6	10	0	6
13	12	15	5	7	14	7	15	11	8	10	8	0
