19
1	 34	 237	 240	 1	 2
2	 31	 253	 260	 4	 8
3	 33	 220	 234	 2	 10
4	 26	 -56	 -36	 1	 1
5	 16	 241	 245	 1	 4
6	 35	 94	 95	 4	 5
7	 16	 39	 53	 6	 9
8	 17	 61	 74	 3	 9
9	 38	 175	 191	 4	 4
10	 34	 95	 105	 2	 6
11	 15	 49	 54	 3	 3
12	 29	 45	 62	 7	 9
13	 16	 205	 222	 1	 3
14	 23	 209	 223	 1	 4
15	 14	 -54	 -51	 3	 4
16	 18	 240	 261	 6	 7
17	 25	 160	 162	 2	 8
18	 30	 219	 223	 9	 10
19	 34	 126	 130	 2	 5
0	11	13	7	12	10	7	9	12	6	11	8	6	14	15	14	13	9	13
13	0	7	8	13	8	13	14	11	7	11	10	13	5	12	14	13	14	13
14	9	0	10	7	7	6	10	10	5	7	11	8	10	10	13	13	12	15
11	7	8	0	15	5	6	9	10	13	6	8	11	8	8	10	15	11	13
12	8	12	15	0	10	7	15	8	14	7	6	8	14	15	11	8	15	12
11	11	13	10	10	0	13	15	10	13	6	14	5	9	6	9	6	8	5
12	11	7	11	12	8	0	8	7	10	6	7	13	11	11	6	10	5	7
13	5	12	6	11	13	8	0	14	13	5	11	13	10	6	6	12	13	8
6	11	11	9	15	11	6	15	0	10	15	12	6	11	6	13	9	5	5
13	14	11	14	12	15	14	10	11	0	10	6	15	13	8	10	13	10	14
10	13	15	12	5	7	13	15	5	8	0	9	14	6	9	11	8	9	14
13	13	12	11	5	12	9	5	11	7	5	0	6	15	12	12	13	7	8
6	6	14	14	15	9	7	6	11	5	12	15	0	6	11	15	14	14	10
12	6	6	10	8	5	7	14	9	9	14	6	9	0	14	11	11	9	8
14	8	12	9	5	7	13	11	12	14	8	15	15	15	0	6	5	10	6
10	11	7	10	7	14	14	15	12	15	14	6	6	7	7	0	5	9	13
6	15	10	10	15	7	11	15	14	12	15	10	5	5	7	12	0	5	6
13	7	10	9	9	11	14	11	5	12	11	5	6	14	15	8	5	0	15
7	8	8	6	10	15	9	11	8	10	13	14	13	8	7	6	14	7	0
