15
1	 35	 128	 132	 7	 8
2	 19	 9	 11	 1	 5
3	 13	 94	 105	 1	 5
4	 33	 2	 21	 6	 8
5	 24	 58	 61	 3	 5
6	 35	 125	 135	 3	 3
7	 27	 169	 171	 2	 5
8	 11	 -52	 -41	 6	 6
9	 36	 172	 190	 6	 9
10	 13	 60	 68	 2	 9
11	 31	 83	 101	 5	 5
12	 8	 158	 174	 2	 9
13	 5	 -10	 10	 6	 8
14	 21	 155	 170	 1	 2
15	 28	 -5	 7	 2	 2
0	14	14	10	10	6	11	5	10	6	11	14	5	8	14
10	0	9	5	13	9	15	6	13	11	13	8	7	14	6
10	11	0	9	14	9	7	5	14	6	8	12	9	10	5
12	7	5	0	7	14	13	12	13	8	6	12	15	10	6
6	6	9	7	0	6	5	6	7	10	11	5	14	7	8
14	13	5	15	10	0	9	8	14	10	12	15	15	8	15
7	11	9	7	8	7	0	8	13	11	6	13	14	14	6
10	12	11	6	8	12	12	0	5	8	5	14	12	10	13
14	12	5	6	7	12	5	15	0	6	12	14	8	7	7
8	14	8	13	8	5	14	7	10	0	5	5	11	13	11
14	9	15	9	7	15	12	11	14	11	0	7	9	8	8
8	5	13	14	12	9	10	9	5	7	12	0	14	14	5
6	8	14	8	6	8	14	6	10	9	15	8	0	14	5
13	8	11	10	15	12	11	10	7	12	8	8	10	0	11
9	8	14	5	14	14	14	13	12	9	8	13	12	5	0
