16
1	 32	 14	 30	 3	 4
2	 15	 283	 283	 3	 3
3	 3	 40	 56	 1	 1
4	 12	 209	 219	 5	 10
5	 19	 -17	 0	 4	 6
6	 20	 389	 400	 1	 2
7	 6	 283	 289	 1	 1
8	 24	 375	 382	 7	 8
9	 32	 338	 356	 4	 5
10	 8	 305	 305	 1	 2
11	 38	 157	 164	 1	 4
12	 23	 214	 236	 3	 7
13	 31	 -57	 -42	 2	 2
14	 32	 270	 276	 1	 2
15	 28	 236	 239	 2	 5
16	 34	 -41	 -35	 6	 6
0	5	13	14	10	9	10	14	11	6	7	14	11	10	13	13
6	0	9	9	7	13	7	9	5	13	6	8	8	7	13	10
13	14	0	9	9	5	11	12	9	12	14	14	14	13	8	8
9	13	7	0	9	5	14	5	9	11	12	13	5	8	5	9
9	9	11	6	0	7	9	15	14	7	11	15	5	8	9	15
11	10	11	8	8	0	7	5	12	8	15	8	12	15	7	11
14	13	6	11	10	11	0	9	13	5	6	7	9	10	14	10
12	9	12	14	7	7	14	0	10	6	13	10	10	7	14	5
10	10	7	14	14	9	12	6	0	14	8	12	13	14	7	6
5	6	8	15	14	10	13	11	6	0	6	5	13	12	11	6
14	5	12	10	12	8	8	10	15	11	0	9	15	12	13	7
11	6	7	14	13	13	7	7	7	8	11	0	11	13	10	12
8	9	12	14	13	6	6	14	14	7	5	7	0	10	14	15
15	12	5	5	12	10	10	13	7	15	14	10	10	0	13	14
12	13	12	8	6	5	5	12	7	15	15	5	15	5	0	15
8	14	14	14	11	13	14	9	5	12	15	8	5	7	10	0
