11
1	 7	 12	 23	 1	 1
2	 3	 -22	 -3	 4	 6
3	 22	 0	 14	 2	 4
4	 4	 20	 26	 1	 8
5	 30	 87	 98	 7	 10
6	 31	 -19	 -3	 4	 4
7	 4	 140	 158	 6	 7
8	 39	 80	 93	 5	 6
9	 23	 147	 151	 2	 2
10	 40	 59	 61	 5	 7
11	 34	 -39	 -20	 1	 2
0	6	10	10	13	9	9	12	11	7	14
5	0	14	11	12	11	9	5	15	10	7
13	15	0	15	6	14	14	7	10	9	7
6	7	12	0	10	8	11	15	7	8	9
5	5	11	6	0	14	5	12	15	12	10
10	8	7	12	6	0	14	9	11	9	7
5	13	9	8	5	12	0	9	15	6	11
6	7	14	6	7	8	7	0	10	10	10
12	11	10	5	8	15	15	7	0	15	7
6	10	6	9	11	6	11	7	14	0	6
7	14	9	13	6	9	14	8	13	12	0
