19
1	 9	 207	 207	 6	 6
2	 18	 158	 174	 5	 5
3	 12	 91	 96	 10	 10
4	 23	 -93	 -85	 6	 10
5	 8	 244	 254	 1	 1
6	 21	 93	 106	 1	 2
7	 32	 -81	 -79	 1	 3
8	 28	 4	 25	 2	 4
9	 12	 177	 188	 1	 1
10	 33	 -18	 -17	 10	 10
11	 13	 -48	 -31	 2	 4
12	 37	 -118	 -117	 4	 9
13	 39	 16	 22	 2	 2
14	 9	 32	 53	 6	 8
15	 20	 119	 131	 3	 10
16	 30	 67	 75	 8	 10
17	 31	 -96	 -92	 6	 6
18	 4	 141	 143	 1	 1
19	 26	 192	 194	 9	 10
0	8	14	11	11	11	15	14	15	12	14	12	8	12	10	8	14	6	6
7	0	7	14	6	12	10	12	5	8	5	8	13	11	7	6	8	15	11
6	13	0	11	15	12	7	11	13	7	14	13	9	10	10	15	12	8	5
9	15	14	0	12	13	7	15	15	9	13	5	5	11	10	6	11	11	11
5	10	10	15	0	6	7	7	8	13	14	13	10	11	14	7	14	5	7
6	14	6	14	13	0	8	6	14	12	7	10	6	13	14	6	12	14	7
12	5	5	14	12	9	0	6	8	13	14	5	8	6	11	7	9	12	9
9	9	7	7	7	7	11	0	14	10	15	10	9	8	8	14	15	11	10
6	11	5	13	13	14	14	10	0	5	11	8	9	14	11	6	13	10	13
8	13	14	10	8	10	10	13	9	0	8	6	15	8	7	12	10	13	8
6	11	7	8	15	8	10	14	13	10	0	5	6	7	11	5	10	7	6
10	6	12	14	6	8	15	9	11	11	13	0	5	9	9	12	5	7	9
12	5	13	13	8	13	5	9	9	8	11	15	0	7	10	13	15	13	7
15	13	7	11	10	12	5	5	15	7	5	9	15	0	15	15	9	7	13
11	9	13	15	13	10	15	12	7	13	8	9	5	11	0	14	8	8	10
15	15	13	5	10	5	7	12	9	8	8	10	10	5	15	0	5	12	15
14	6	14	9	10	14	9	5	10	8	9	14	7	5	5	13	0	13	6
8	13	15	7	6	7	7	5	11	7	14	10	14	5	11	10	5	0	9
6	15	10	9	13	10	11	6	9	6	10	13	12	6	11	13	14	5	0
