17
1	 16	 -99	 -83	 2	 3
2	 21	 171	 188	 3	 8
3	 14	 58	 64	 1	 4
4	 12	 128	 135	 4	 8
5	 9	 73	 89	 10	 10
6	 15	 -58	 -46	 1	 3
7	 40	 -50	 -42	 8	 8
8	 23	 -81	 -81	 1	 1
9	 30	 109	 121	 4	 4
10	 22	 68	 77	 2	 2
11	 9	 175	 176	 2	 6
12	 22	 137	 138	 1	 2
13	 8	 50	 61	 2	 2
14	 32	 83	 93	 5	 7
15	 11	 -47	 -30	 6	 6
16	 10	 -78	 -77	 4	 10
17	 10	 -29	 -27	 2	 4
0	7	14	9	15	15	13	7	15	8	6	12	7	9	8	5	8
9	0	6	10	14	5	14	5	9	10	14	6	15	6	6	9	6
11	6	0	13	5	9	12	11	12	11	15	7	5	7	11	6	11
6	5	14	0	10	8	9	10	12	12	12	11	12	13	11	14	10
13	5	6	14	0	12	14	5	13	7	11	15	6	10	9	7	12
14	7	13	13	5	0	12	9	11	11	15	13	7	11	11	7	14
14	13	15	9	7	8	0	10	12	11	7	9	15	13	11	11	15
6	13	14	14	15	15	5	0	5	9	13	9	9	9	14	8	11
9	11	13	14	5	10	8	15	0	9	11	6	11	9	6	8	12
5	12	15	13	15	11	8	7	5	0	12	12	5	12	9	8	6
10	12	6	10	12	8	8	10	10	10	0	7	15	10	6	6	5
11	10	13	7	12	11	14	15	14	6	7	0	10	12	7	5	10
10	7	6	15	14	9	12	13	9	12	6	15	0	13	15	11	10
11	6	9	10	8	13	11	7	14	10	10	7	15	0	8	9	6
9	13	6	8	12	14	6	13	7	12	13	11	14	11	0	5	5
13	9	9	6	15	14	11	11	7	14	10	9	12	13	5	0	5
8	10	14	10	14	10	12	12	12	10	9	8	8	9	5	14	0
