14
1	 17	 205	 214	 8	 10
2	 40	 161	 180	 1	 1
3	 33	 259	 278	 2	 4
4	 33	 159	 176	 2	 6
5	 5	 194	 200	 2	 7
6	 10	 224	 227	 4	 4
7	 5	 180	 188	 1	 3
8	 29	 246	 258	 5	 6
9	 24	 243	 262	 1	 6
10	 31	 254	 254	 6	 10
11	 32	 183	 203	 3	 4
12	 14	 182	 201	 4	 8
13	 24	 165	 167	 6	 10
14	 11	 195	 212	 3	 3
0	14	6	8	11	15	5	11	11	9	12	7	15	6
9	0	9	15	9	10	5	6	12	11	11	15	12	12
8	5	0	11	15	15	14	14	13	7	8	8	13	14
12	12	7	0	5	7	5	11	10	12	9	14	15	13
5	10	7	9	0	11	15	6	11	15	12	12	11	14
7	10	6	13	9	0	6	9	9	12	13	15	9	6
9	12	5	14	5	12	0	8	11	6	5	10	5	13
10	5	12	14	7	10	11	0	6	7	14	15	15	11
7	5	10	8	5	7	8	13	0	8	15	13	8	5
10	5	15	8	12	7	7	13	10	0	6	9	5	15
15	7	14	11	15	11	15	15	6	5	0	11	8	9
14	14	10	15	10	8	10	9	10	15	11	0	12	8
8	5	12	14	5	8	11	8	10	9	6	14	0	13
6	13	11	15	13	7	14	8	7	5	12	14	9	0
