16
1	 15	 229	 229	 1	 5
2	 38	 436	 453	 2	 4
3	 11	 414	 418	 1	 1
4	 30	 422	 441	 1	 2
5	 28	 137	 156	 2	 3
6	 30	 295	 298	 5	 6
7	 9	 292	 308	 7	 8
8	 36	 325	 334	 5	 10
9	 10	 314	 316	 3	 5
10	 9	 315	 324	 1	 10
11	 29	 126	 143	 2	 7
12	 40	 207	 218	 1	 9
13	 10	 167	 187	 1	 2
14	 9	 395	 400	 4	 8
15	 13	 340	 353	 10	 10
16	 12	 301	 309	 2	 2
0	6	13	13	9	15	8	6	13	5	12	13	9	7	7	15
10	0	15	13	15	15	6	9	10	11	14	7	15	14	7	9
7	12	0	11	6	14	13	12	9	7	5	10	7	6	15	13
15	10	11	0	8	8	6	12	10	5	15	7	15	6	11	8
14	7	15	5	0	5	11	15	12	6	12	6	11	7	10	10
9	15	12	8	7	0	8	8	12	15	14	13	14	5	5	14
13	15	7	12	8	11	0	14	11	14	8	15	7	10	13	14
5	12	6	15	7	11	6	0	15	13	14	10	5	9	11	5
6	11	6	7	8	13	8	15	0	13	7	7	7	7	10	10
10	9	10	12	8	7	6	14	9	0	6	8	6	9	13	13
15	6	12	8	9	12	15	14	12	10	0	7	9	15	8	5
15	6	8	5	7	15	7	10	7	12	10	0	10	8	7	14
13	12	6	10	10	7	11	5	14	15	6	5	0	6	14	14
8	5	13	13	5	11	13	15	7	9	13	6	14	0	8	15
14	10	9	10	13	5	14	7	14	13	6	15	10	14	0	13
15	12	7	8	15	10	9	12	9	6	9	10	15	5	9	0
