19
1	 7	 200	 203	 9	 10
2	 14	 150	 167	 9	 9
3	 10	 95	 105	 3	 5
4	 14	 365	 372	 1	 4
5	 19	 75	 90	 3	 8
6	 21	 269	 285	 2	 4
7	 10	 162	 178	 3	 5
8	 23	 311	 322	 8	 9
9	 11	 17	 34	 2	 2
10	 31	 39	 41	 7	 9
11	 32	 31	 35	 9	 10
12	 17	 155	 165	 2	 8
13	 39	 390	 393	 8	 10
14	 19	 397	 408	 3	 10
15	 34	 71	 72	 1	 3
16	 40	 231	 233	 6	 8
17	 24	 110	 116	 3	 7
18	 9	 397	 404	 3	 4
19	 40	 293	 299	 5	 6
0	8	6	15	11	15	12	13	10	15	7	10	14	10	14	7	15	9	5
14	0	9	15	14	15	8	5	15	7	11	6	10	9	9	7	12	15	15
5	14	0	9	13	10	10	6	10	8	15	8	5	12	7	9	14	13	9
14	11	15	0	13	14	6	14	13	5	15	14	7	13	13	6	6	7	6
8	11	11	11	0	15	7	5	8	12	8	9	9	12	13	10	9	8	14
9	9	9	10	15	0	5	13	11	5	15	13	7	11	13	5	5	15	14
15	14	12	13	14	12	0	12	12	7	12	5	14	14	6	8	9	8	12
15	12	13	9	12	7	15	0	8	15	6	14	12	8	15	11	14	13	13
9	15	5	11	7	9	8	14	0	11	13	5	5	8	15	6	9	11	9
6	15	6	11	12	6	14	13	5	0	10	15	5	15	7	9	12	15	6
9	11	8	11	5	13	14	8	10	14	0	11	11	10	14	7	11	13	6
10	14	12	8	5	8	11	15	6	15	13	0	5	5	5	10	11	11	13
9	10	9	12	6	7	14	11	5	15	11	15	0	7	12	6	14	8	5
8	13	12	12	12	14	14	12	7	5	5	7	9	0	13	6	6	7	9
15	13	5	15	12	5	10	7	6	13	11	12	10	15	0	8	5	8	9
13	15	14	13	8	14	14	14	6	15	12	11	14	9	6	0	15	15	7
7	9	11	12	5	8	10	7	6	10	12	8	11	13	12	10	0	7	12
5	14	12	13	12	8	15	10	14	6	5	14	5	13	15	12	10	0	13
11	11	13	13	10	7	12	14	13	13	8	8	6	14	14	11	8	7	0
