17
1	 16	 93	 106	 8	 8
2	 18	 47	 56	 1	 2
3	 14	 76	 94	 2	 2
4	 30	 342	 353	 9	 10
5	 29	 165	 182	 1	 2
6	 14	 271	 286	 1	 3
7	 24	 153	 161	 8	 8
8	 18	 85	 87	 5	 8
9	 25	 161	 178	 6	 8
10	 21	 206	 220	 1	 3
11	 38	 141	 151	 5	 10
12	 32	 117	 128	 8	 8
13	 18	 2	 11	 6	 9
14	 29	 202	 208	 1	 8
15	 9	 9	 30	 9	 9
16	 5	 49	 58	 3	 3
17	 32	 282	 301	 3	 5
0	14	5	5	15	5	7	5	10	6	12	11	10	7	10	13	14
11	0	6	14	5	14	7	6	15	9	5	11	14	5	9	15	15
13	8	0	8	14	8	14	8	13	14	8	14	9	10	15	9	9
6	15	15	0	11	13	15	5	15	12	12	15	10	11	6	15	15
8	7	12	7	0	5	14	11	9	7	12	12	7	12	8	15	10
15	8	13	10	7	0	8	10	14	9	11	9	12	7	7	6	12
11	12	8	13	15	7	0	11	7	9	14	12	14	7	9	12	10
5	13	10	13	13	5	14	0	8	15	11	13	6	8	8	5	14
14	12	14	7	15	10	6	6	0	11	15	9	11	9	14	13	13
13	9	12	15	8	11	6	7	6	0	13	10	6	6	12	5	7
5	15	11	14	12	15	15	13	10	5	0	7	11	14	13	14	9
8	9	14	13	10	7	12	5	15	6	15	0	14	13	15	12	9
6	11	8	14	12	11	15	7	14	12	12	8	0	14	9	12	15
9	14	7	9	14	13	7	5	5	15	15	10	9	0	13	8	15
13	11	6	9	12	5	11	13	11	15	13	5	11	11	0	13	11
11	10	15	15	6	9	9	11	10	6	8	12	13	8	5	0	14
12	6	10	9	15	7	5	9	6	10	6	13	15	15	5	7	0
