14
1	 28	 300	 307	 4	 9
2	 8	 45	 64	 7	 10
3	 31	 179	 193	 1	 1
4	 20	 285	 297	 7	 10
5	 38	 36	 53	 5	 6
6	 36	 313	 334	 3	 6
7	 11	 7	 16	 5	 10
8	 16	 72	 91	 1	 5
9	 29	 247	 255	 2	 3
10	 36	 73	 88	 1	 2
11	 25	 204	 208	 1	 1
12	 7	 35	 38	 2	 3
13	 39	 227	 243	 4	 5
14	 4	 39	 60	 5	 6
0	6	15	5	10	9	9	11	6	6	7	11	6	15
13	0	7	14	9	5	14	9	15	12	6	10	7	11
9	10	0	12	13	14	7	13	15	15	14	5	13	15
12	13	12	0	9	14	12	14	5	6	13	5	9	14
13	7	12	12	0	12	11	11	5	14	10	15	8	8
10	10	10	14	6	0	10	15	5	6	15	5	15	13
15	6	12	10	8	5	0	5	12	10	9	7	12	8
10	5	9	14	15	6	15	0	10	9	10	5	10	8
15	14	15	9	12	12	10	15	0	14	11	13	15	12
10	8	8	9	9	15	15	15	15	0	13	15	14	5
5	6	11	12	14	8	9	15	10	11	0	8	15	14
12	14	15	11	15	7	5	9	10	6	15	0	5	9
6	14	15	13	6	13	13	10	11	8	11	13	0	5
8	14	7	12	10	7	10	13	13	10	10	8	9	0
