17
1	 11	 347	 359	 2	 7
2	 8	 358	 361	 2	 2
3	 18	 198	 211	 5	 5
4	 6	 334	 348	 1	 1
5	 36	 347	 352	 3	 6
6	 11	 293	 299	 1	 5
7	 5	 178	 187	 2	 7
8	 26	 189	 198	 1	 3
9	 23	 343	 353	 4	 7
10	 10	 259	 262	 1	 4
11	 25	 201	 217	 1	 4
12	 10	 194	 196	 2	 2
13	 22	 317	 319	 4	 7
14	 11	 163	 172	 1	 2
15	 15	 318	 334	 7	 8
16	 38	 196	 203	 6	 6
17	 18	 348	 361	 4	 5
0	9	8	14	14	7	11	11	8	15	5	12	15	9	15	5	7
13	0	7	15	13	12	15	11	6	8	7	9	14	11	15	15	15
11	8	0	7	13	10	6	8	14	7	11	13	9	10	14	11	13
10	14	14	0	12	7	12	13	13	14	8	9	9	9	6	13	7
11	15	6	13	0	10	13	7	7	8	10	11	6	7	9	11	12
15	13	10	12	14	0	13	15	7	12	12	14	12	14	6	15	6
12	14	14	8	7	12	0	13	5	6	14	9	6	14	11	13	6
5	15	6	11	7	8	13	0	9	12	9	8	10	5	6	10	9
15	13	12	8	12	10	15	15	0	7	14	6	7	8	10	9	12
7	5	7	12	13	9	5	8	9	0	9	15	9	10	5	11	7
5	9	13	15	14	5	9	14	15	5	0	6	5	8	6	6	11
14	8	9	5	12	10	6	11	5	11	6	0	12	13	11	10	6
5	11	11	9	12	5	8	9	12	8	5	6	0	9	12	9	7
6	6	14	7	12	13	15	10	8	10	15	5	12	0	14	9	7
12	7	8	5	9	8	11	12	12	12	6	11	15	7	0	9	5
13	13	6	12	11	14	12	8	5	13	6	6	14	9	5	0	13
6	5	13	11	11	5	7	11	13	15	11	11	13	12	8	7	0
