12
1	 2	 161	 162	 1	 1
2	 13	 288	 297	 1	 8
3	 21	 242	 243	 3	 3
4	 13	 299	 319	 4	 5
5	 37	 264	 266	 5	 10
6	 31	 303	 305	 7	 9
7	 13	 262	 264	 4	 4
8	 22	 162	 176	 5	 8
9	 24	 256	 259	 2	 2
10	 18	 327	 335	 7	 9
11	 23	 306	 315	 2	 2
12	 23	 107	 127	 1	 1
0	6	14	14	14	14	8	15	14	5	14	11
8	0	6	9	6	12	13	15	15	14	9	10
11	15	0	7	12	13	5	6	15	5	8	15
13	7	11	0	14	11	6	13	6	9	13	6
10	5	5	15	0	12	5	5	7	13	6	14
7	8	15	11	12	0	8	11	11	12	11	11
12	5	8	14	11	13	0	6	8	7	11	8
14	13	10	10	8	8	9	0	9	5	9	9
12	6	13	5	7	14	13	12	0	7	11	5
12	11	8	5	14	10	12	7	13	0	10	9
12	6	6	13	12	6	12	13	6	11	0	6
9	15	5	8	14	13	5	6	6	10	5	0
