18
1	 22	 277	 288	 2	 3
2	 28	 561	 564	 1	 1
3	 22	 215	 234	 1	 8
4	 33	 340	 355	 4	 4
5	 20	 549	 563	 1	 1
6	 6	 428	 432	 2	 2
7	 34	 498	 511	 4	 4
8	 18	 349	 350	 9	 10
9	 15	 387	 403	 2	 3
10	 25	 13	 33	 5	 7
11	 39	 162	 172	 6	 9
12	 24	 496	 517	 1	 1
13	 33	 156	 159	 6	 7
14	 39	 44	 59	 1	 1
15	 4	 41	 57	 1	 3
16	 14	 476	 478	 3	 7
17	 35	 272	 293	 5	 5
18	 27	 345	 357	 1	 1
0	8	10	13	10	5	8	5	7	15	5	13	9	14	11	14	14	13
12	0	10	12	9	14	9	13	8	11	6	15	12	9	8	15	5	11
8	11	0	6	9	9	10	9	14	5	11	9	9	10	9	13	15	8
15	7	14	0	5	13	8	8	7	6	13	5	6	15	6	6	9	15
9	11	5	5	0	5	6	7	11	15	10	6	13	15	11	12	12	12
12	10	13	14	8	0	8	6	7	9	12	5	14	8	7	8	14	6
5	11	10	8	15	15	0	13	14	13	8	9	6	9	13	9	11	12
12	11	9	6	15	5	5	0	15	13	6	11	5	12	9	14	6	5
12	8	5	11	15	5	9	13	0	12	6	7	15	6	15	12	12	12
13	11	11	5	15	11	14	5	14	0	10	9	12	12	5	12	14	10
12	14	15	10	13	14	12	5	12	6	0	12	6	8	12	14	8	14
10	15	7	12	14	15	9	11	9	6	13	0	10	12	11	10	11	10
14	7	7	15	12	14	15	10	6	14	7	15	0	12	8	6	12	15
9	12	12	14	10	6	14	5	15	9	14	12	11	0	11	6	14	13
10	10	10	5	11	14	9	14	9	15	7	5	14	14	0	13	5	8
8	14	13	6	7	10	12	14	12	12	10	10	11	11	12	0	11	11
7	14	8	9	7	14	14	11	13	15	7	9	13	9	5	12	0	13
8	12	6	13	7	12	6	15	12	15	11	8	14	11	11	11	15	0
