16
1	 26	 176	 196	 3	 3
2	 9	 225	 245	 2	 5
3	 24	 313	 331	 8	 8
4	 23	 129	 133	 3	 5
5	 20	 53	 70	 3	 8
6	 36	 431	 433	 3	 9
7	 8	 423	 426	 6	 6
8	 38	 92	 97	 6	 7
9	 23	 130	 137	 1	 5
10	 4	 380	 385	 10	 10
11	 32	 256	 258	 3	 3
12	 8	 131	 135	 2	 2
13	 5	 104	 108	 1	 2
14	 33	 99	 101	 1	 1
15	 8	 153	 173	 4	 10
16	 31	 18	 36	 1	 1
0	7	7	7	6	12	15	8	15	9	14	11	7	8	7	7
15	0	12	5	12	5	11	5	13	15	6	14	15	13	5	9
10	6	0	12	6	8	12	9	15	15	14	8	9	11	9	12
10	8	8	0	6	5	6	6	8	13	15	12	11	14	11	9
9	12	12	6	0	12	13	9	6	10	9	6	6	6	14	8
10	13	6	8	14	0	10	5	15	6	14	11	8	7	5	10
9	7	15	14	8	14	0	8	13	8	7	12	13	5	15	8
11	15	14	12	9	8	11	0	8	15	14	12	13	5	6	12
10	9	10	7	11	13	14	7	0	12	15	9	12	6	5	11
6	14	12	15	10	6	9	8	8	0	13	15	15	12	15	15
9	10	15	11	13	13	10	7	14	8	0	13	6	6	8	11
6	9	15	10	5	9	13	8	15	5	9	0	13	14	9	11
6	10	13	7	11	5	6	10	11	7	9	6	0	15	12	14
15	5	13	11	13	5	5	6	5	6	6	11	6	0	11	13
10	14	6	9	6	10	14	10	9	8	12	15	15	13	0	11
11	6	5	10	14	13	15	11	14	6	10	13	7	11	8	0
