19
1	 40	 240	 245	 1	 9
2	 10	 603	 621	 2	 3
3	 18	 440	 443	 7	 7
4	 23	 557	 576	 2	 5
5	 10	 433	 438	 1	 1
6	 28	 273	 295	 2	 6
7	 16	 410	 430	 5	 8
8	 10	 305	 327	 1	 1
9	 25	 237	 239	 9	 9
10	 32	 270	 281	 2	 3
11	 18	 389	 405	 1	 5
12	 33	 410	 429	 1	 1
13	 7	 305	 307	 3	 6
14	 22	 573	 583	 3	 4
15	 37	 470	 486	 1	 7
16	 25	 514	 519	 3	 4
17	 27	 361	 375	 6	 8
18	 38	 469	 489	 1	 1
19	 33	 182	 205	 1	 1
0	11	14	15	11	9	6	13	15	8	12	11	6	8	5	8	12	5	7
10	0	10	6	11	6	8	6	11	12	7	10	10	8	13	11	11	8	9
12	8	0	8	5	13	7	9	15	10	10	13	6	5	5	6	8	11	12
7	8	10	0	14	13	14	7	9	12	9	10	9	10	9	13	13	6	10
10	9	9	9	0	13	13	11	14	6	9	14	7	5	8	11	5	9	11
8	7	6	15	15	0	15	15	11	6	9	10	10	7	7	12	13	15	6
12	10	14	11	12	15	0	7	5	9	12	10	11	14	5	10	7	6	14
12	10	7	5	10	5	9	0	13	10	12	11	6	14	11	8	5	14	10
8	11	12	13	9	14	12	13	0	9	5	15	13	9	5	12	15	5	11
12	5	15	13	10	7	15	6	15	0	15	14	12	10	12	13	14	15	7
13	10	12	12	10	14	10	14	10	11	0	11	12	11	7	6	14	5	7
5	5	12	9	8	11	5	7	9	9	5	0	12	7	5	9	6	10	14
15	7	5	9	12	15	10	9	6	7	14	8	0	5	14	15	7	8	10
9	13	11	5	7	14	6	10	14	12	5	12	14	0	6	5	9	7	7
14	5	11	13	13	15	15	9	10	10	10	6	6	14	0	8	7	11	11
12	8	8	12	9	7	11	13	15	7	10	13	9	10	9	0	5	14	11
11	14	11	5	5	11	7	15	7	10	9	12	7	10	12	10	0	10	9
14	11	13	9	14	11	10	11	7	6	11	13	10	15	7	12	6	0	14
11	10	11	9	14	9	8	15	11	13	14	11	13	14	11	7	13	15	0
