13
1	 13	 70	 75	 3	 8
2	 22	 176	 190	 3	 5
3	 14	 69	 88	 3	 6
4	 36	 177	 193	 5	 9
5	 33	 296	 304	 5	 7
6	 25	 139	 155	 6	 10
7	 34	 90	 108	 7	 10
8	 16	 71	 85	 1	 1
9	 18	 91	 97	 1	 1
10	 10	 82	 99	 3	 5
11	 24	 102	 106	 2	 8
12	 4	 98	 112	 2	 10
13	 11	 263	 281	 3	 10
0	14	6	10	7	7	5	6	13	6	5	15	7
10	0	5	6	6	12	10	7	5	13	14	5	15
5	6	0	9	6	9	13	7	5	5	7	11	11
12	10	14	0	11	14	9	12	9	13	11	11	8
8	12	15	5	0	14	5	11	10	6	7	14	14
5	7	6	10	11	0	6	6	13	15	14	6	8
6	7	13	8	11	8	0	9	7	6	12	9	9
8	12	12	14	13	10	9	0	9	11	13	9	8
9	15	10	6	7	15	8	6	0	8	14	15	7
5	14	7	14	11	12	6	10	10	0	14	8	11
8	12	13	11	8	5	11	9	6	9	0	8	6
5	5	14	5	5	8	10	7	15	15	8	0	9
8	6	5	13	12	6	10	13	8	12	8	7	0
