14
1	 19	 485	 486	 5	 8
2	 35	 167	 193	 7	 7
3	 36	 155	 176	 5	 8
4	 40	 298	 303	 1	 1
5	 37	 79	 85	 6	 10
6	 18	 72	 78	 7	 10
7	 15	 197	 200	 1	 2
8	 12	 84	 88	 2	 8
9	 24	 370	 395	 1	 4
10	 6	 414	 421	 4	 8
11	 29	 385	 390	 1	 4
12	 32	 434	 445	 3	 4
13	 34	 308	 332	 1	 1
14	 31	 441	 457	 2	 9
0	7	6	11	8	5	15	14	6	10	6	7	13	8
8	0	10	7	11	14	9	11	14	10	9	14	14	8
9	7	0	13	15	13	8	8	15	5	6	6	9	10
7	8	10	0	15	13	5	10	14	15	10	12	15	14
15	14	15	5	0	13	5	14	9	9	11	11	12	12
15	11	9	15	9	0	9	9	12	11	14	9	7	15
12	6	7	12	7	14	0	8	9	5	11	9	9	12
12	10	14	11	15	5	7	0	7	7	11	14	10	15
6	9	8	5	10	7	13	7	0	8	13	11	13	8
10	12	9	9	12	7	6	12	12	0	14	8	7	8
9	12	8	7	5	12	15	8	12	15	0	13	12	14
15	15	5	10	13	7	13	14	10	10	5	0	10	13
14	11	11	13	12	5	14	8	15	7	10	11	0	15
14	10	5	7	7	8	14	9	12	13	7	6	14	0
