20
1	 25	 379	 394	 6	 9
2	 20	 290	 300	 2	 3
3	 26	 447	 458	 6	 10
4	 15	 132	 147	 4	 4
5	 10	 352	 353	 1	 9
6	 16	 258	 274	 1	 6
7	 27	 411	 427	 8	 9
8	 17	 244	 247	 4	 4
9	 36	 380	 400	 1	 5
10	 24	 120	 126	 1	 1
11	 19	 529	 537	 1	 6
12	 10	 517	 520	 1	 3
13	 21	 241	 262	 9	 9
14	 40	 396	 400	 6	 9
15	 19	 115	 125	 8	 10
16	 39	 139	 156	 3	 7
17	 33	 192	 203	 4	 10
18	 31	 517	 520	 3	 6
19	 2	 340	 351	 8	 8
20	 24	 211	 211	 1	 1
0	10	11	15	12	10	13	13	5	9	7	13	13	15	10	11	7	7	15	7
14	0	15	11	12	14	12	8	8	10	9	15	9	10	9	15	11	15	11	11
7	7	0	12	11	14	13	12	15	10	5	12	15	10	9	8	14	11	13	12
15	15	7	0	9	9	12	10	11	11	6	13	7	6	14	6	5	15	9	7
10	12	10	9	0	8	7	13	5	11	14	15	14	15	9	12	9	12	9	15
7	8	15	9	7	0	6	12	8	10	10	9	12	10	7	15	13	9	10	12
8	11	7	7	7	5	0	13	9	7	7	11	7	15	9	10	5	9	14	11
14	9	10	6	12	15	9	0	13	8	8	5	8	11	11	11	11	10	13	9
14	14	15	13	8	15	14	5	0	14	13	10	5	14	12	11	9	15	10	6
14	8	7	10	5	15	11	14	6	0	8	10	7	14	10	14	8	10	11	9
15	12	14	14	7	10	13	11	7	14	0	12	5	10	14	13	7	7	13	14
13	9	15	12	5	12	11	6	6	11	10	0	11	15	13	15	6	5	14	10
10	7	12	15	8	12	11	12	9	5	13	12	0	14	10	10	13	14	5	12
5	12	10	8	15	14	8	6	9	8	10	12	11	0	11	9	11	6	13	15
8	8	8	15	5	10	10	5	9	8	15	14	13	8	0	14	14	15	9	14
14	11	8	11	14	9	12	7	5	9	9	15	12	7	5	0	8	6	9	9
10	5	15	14	15	10	7	14	12	7	13	7	8	5	10	13	0	10	8	9
6	8	12	11	9	5	7	7	14	5	11	14	5	10	13	12	12	0	15	14
8	9	5	10	13	11	10	7	6	8	13	7	6	9	7	9	10	10	0	15
6	12	6	9	5	6	12	10	9	9	10	5	7	15	12	6	9	13	7	0
