17
1	 36	 -36	 -17	 1	 6
2	 37	 -48	 -44	 5	 5
3	 40	 69	 75	 5	 6
4	 12	 -5	 9	 2	 5
5	 39	 195	 216	 2	 5
6	 38	 88	 103	 4	 6
7	 15	 9	 23	 3	 5
8	 19	 7	 21	 2	 8
9	 14	 200	 203	 3	 6
10	 6	 41	 46	 2	 2
11	 19	 71	 91	 1	 6
12	 10	 -62	 -41	 1	 2
13	 24	 151	 175	 3	 6
14	 34	 52	 74	 1	 2
15	 34	 90	 100	 4	 5
16	 3	 58	 60	 5	 6
17	 31	 -14	 -7	 2	 4
0	12	7	8	13	7	14	5	10	15	7	15	7	5	10	11	6
14	0	10	12	13	5	10	11	7	12	10	13	5	8	9	13	8
6	6	0	10	11	8	10	6	7	13	11	9	5	12	12	8	9
7	14	10	0	5	8	7	6	5	7	7	13	14	9	11	7	13
7	15	15	14	0	11	9	6	6	9	15	9	9	9	8	9	8
10	9	12	15	11	0	15	6	7	8	11	6	14	15	8	9	11
12	8	13	11	9	14	0	12	10	13	9	7	12	10	5	5	5
9	10	15	7	11	10	9	0	15	7	12	14	7	10	7	7	6
15	11	5	10	5	15	5	11	0	13	7	15	6	8	9	10	10
8	7	14	14	7	11	12	8	8	0	14	14	5	10	10	8	13
14	11	9	6	6	12	15	5	9	8	0	12	11	10	14	12	5
15	7	10	10	15	11	11	6	9	11	14	0	10	13	15	14	9
6	13	11	7	6	9	11	11	15	10	11	13	0	7	12	9	14
10	13	8	10	8	5	6	15	8	8	15	6	12	0	8	8	8
10	7	6	15	9	14	10	8	6	7	8	12	13	13	0	10	6
9	8	6	12	15	15	8	13	14	13	11	10	8	13	10	0	10
11	6	13	5	6	12	13	15	13	5	13	13	10	5	8	10	0
