11
1	 35	 250	 264	 1	 8
2	 29	 216	 231	 2	 3
3	 17	 149	 159	 1	 1
4	 25	 51	 72	 3	 9
5	 33	 168	 173	 3	 7
6	 37	 169	 178	 2	 6
7	 39	 87	 104	 1	 1
8	 5	 12	 36	 2	 2
9	 17	 197	 202	 1	 9
10	 13	 -5	 15	 2	 2
11	 28	 74	 92	 2	 5
0	7	9	7	8	12	7	5	14	10	15
13	0	9	9	14	11	8	6	12	9	15
14	12	0	6	11	15	8	15	15	7	11
10	9	7	0	11	13	15	13	14	9	6
10	8	15	13	0	14	12	8	13	8	14
10	6	9	7	8	0	10	13	10	12	6
13	6	7	8	8	8	0	7	15	14	10
6	8	11	5	11	13	7	0	11	15	10
13	8	10	14	7	13	5	12	0	5	12
12	12	13	10	7	9	6	9	13	0	6
6	6	9	14	13	9	12	10	8	13	0
