13
1	 17	 185	 198	 3	 3
2	 18	 238	 249	 3	 7
3	 14	 226	 230	 1	 5
4	 15	 250	 259	 1	 10
5	 30	 185	 198	 2	 2
6	 9	 239	 244	 2	 3
7	 11	 234	 235	 4	 8
8	 6	 246	 249	 3	 3
9	 36	 222	 239	 4	 10
10	 39	 251	 259	 1	 1
11	 5	 239	 255	 3	 3
12	 4	 176	 179	 4	 7
13	 33	 248	 251	 3	 3
0	10	12	9	6	13	8	14	5	10	6	12	6
14	0	12	11	6	7	14	14	5	7	14	8	10
7	7	0	11	12	8	7	15	11	6	7	15	5
11	8	5	0	10	12	11	7	15	8	14	6	9
14	9	6	5	0	15	12	15	11	11	6	9	11
12	7	15	12	12	0	10	11	5	12	9	5	14
14	10	11	6	15	15	0	8	15	15	5	15	7
7	15	8	9	12	13	5	0	7	9	10	9	8
8	10	14	10	12	11	12	9	0	13	14	10	13
6	5	14	8	12	14	15	6	10	0	9	14	9
7	11	5	6	9	15	14	12	9	15	0	7	7
15	7	9	13	10	11	13	9	9	5	9	0	15
15	5	8	14	13	13	15	12	14	10	12	7	0
