16
1	 17	 216	 230	 9	 9
2	 23	 283	 296	 1	 2
3	 24	 271	 271	 3	 5
4	 11	 254	 269	 1	 1
5	 4	 290	 297	 1	 8
6	 12	 258	 263	 1	 1
7	 16	 236	 248	 1	 3
8	 35	 264	 282	 2	 6
9	 11	 220	 226	 6	 8
10	 6	 241	 244	 8	 8
11	 8	 236	 245	 8	 8
12	 30	 313	 326	 5	 8
13	 7	 283	 299	 3	 5
14	 35	 304	 319	 9	 9
15	 28	 268	 275	 2	 2
16	 27	 202	 210	 2	 3
0	8	11	14	11	8	12	10	6	7	14	9	15	13	15	5
8	0	15	6	7	13	7	12	15	7	15	8	9	13	10	11
14	5	0	7	9	14	15	9	11	6	15	7	15	7	10	15
11	10	10	0	14	5	6	7	6	7	5	15	14	6	7	14
8	6	6	12	0	5	6	8	7	13	14	7	8	13	13	10
8	5	7	15	15	0	9	11	5	6	8	10	11	9	9	12
8	10	12	9	12	6	0	15	5	7	7	11	10	12	10	8
6	14	9	15	7	10	6	0	11	7	10	11	11	10	6	11
12	5	7	6	11	6	5	14	0	12	5	8	15	7	14	5
14	9	12	12	12	15	5	5	14	0	15	15	15	14	13	13
10	11	5	14	6	5	9	15	10	11	0	9	9	5	15	6
6	14	15	15	8	5	5	13	15	9	14	0	15	13	7	14
14	15	13	9	6	9	9	10	15	15	15	15	0	5	15	11
6	6	11	12	6	9	9	15	6	15	15	6	12	0	10	5
6	11	7	14	14	9	13	10	15	9	12	5	6	8	0	11
14	14	7	13	10	5	12	5	10	13	8	15	12	12	7	0
