12
1	 35	 246	 268	 6	 6
2	 20	 103	 114	 4	 5
3	 34	 154	 172	 5	 9
4	 16	 265	 282	 2	 2
5	 17	 256	 257	 1	 2
6	 14	 239	 240	 5	 9
7	 12	 200	 202	 4	 6
8	 29	 96	 117	 3	 8
9	 15	 192	 201	 6	 6
10	 24	 234	 251	 5	 8
11	 38	 145	 159	 5	 5
12	 10	 126	 141	 4	 10
0	7	13	13	13	15	7	9	7	13	15	11
13	0	12	8	7	8	6	13	15	10	8	5
6	14	0	7	14	13	8	7	9	10	6	15
15	9	12	0	10	11	10	15	11	5	8	14
13	7	9	14	0	9	14	8	14	14	6	15
6	8	11	6	10	0	6	12	7	11	6	14
9	12	7	12	8	8	0	11	12	11	12	15
10	5	8	15	12	12	15	0	9	15	5	5
11	14	15	5	7	11	11	5	0	13	8	10
13	9	5	13	10	15	7	6	8	0	7	7
14	12	14	15	14	15	12	15	9	5	0	12
6	12	5	14	5	5	7	12	9	7	5	0
