14
1	 15	 333	 338	 8	 10
2	 30	 307	 323	 1	 3
3	 6	 273	 278	 5	 6
4	 31	 356	 365	 1	 9
5	 21	 312	 315	 2	 3
6	 16	 286	 290	 2	 2
7	 36	 353	 365	 1	 10
8	 40	 341	 355	 5	 5
9	 28	 385	 408	 6	 7
10	 28	 349	 373	 3	 10
11	 25	 302	 310	 4	 6
12	 31	 360	 366	 1	 1
13	 40	 327	 336	 1	 1
14	 24	 351	 351	 7	 10
0	9	14	13	6	10	12	8	11	5	6	9	14	11
10	0	8	14	11	15	14	9	6	14	10	7	13	14
15	12	0	5	14	9	13	10	13	5	11	15	10	11
9	8	6	0	9	5	12	11	11	12	8	8	15	15
5	15	11	15	0	15	8	15	14	9	11	13	12	13
15	11	15	11	7	0	13	13	7	12	7	12	12	12
10	6	13	5	5	15	0	8	11	14	15	11	7	11
8	5	11	10	10	11	8	0	11	14	10	15	13	11
11	5	8	15	9	15	6	12	0	15	5	13	15	6
15	13	5	6	7	15	13	12	8	0	10	9	13	7
15	8	9	12	10	15	14	12	5	14	0	8	9	6
9	11	12	15	14	9	6	5	6	6	7	0	7	5
6	11	5	13	6	5	14	8	6	12	5	6	0	13
6	13	7	5	15	5	13	15	5	10	9	14	15	0
