11
1	 13	 180	 189	 8	 9
2	 17	 32	 49	 9	 9
3	 11	 105	 113	 3	 9
4	 39	 156	 161	 1	 3
5	 16	 31	 42	 2	 3
6	 24	 143	 149	 6	 6
7	 24	 169	 180	 1	 2
8	 14	 187	 202	 1	 1
9	 25	 60	 75	 1	 1
10	 27	 158	 168	 1	 5
11	 22	 32	 50	 3	 6
0	10	14	13	12	11	7	13	10	15	11
7	0	9	15	9	11	13	15	6	8	8
5	15	0	13	5	14	7	9	6	13	13
7	7	8	0	10	5	14	10	13	13	10
11	13	5	8	0	10	6	10	13	12	11
13	7	10	15	8	0	12	13	7	14	9
11	12	15	6	9	15	0	8	6	14	14
6	5	11	13	9	15	6	0	15	8	8
11	13	10	10	11	13	10	8	0	14	14
5	15	6	10	11	12	9	12	11	0	11
6	6	9	7	15	9	12	14	9	6	0
